[1755, 1240]
[paragraph, [219.0, 142.0, 879.0, 36.0], shoonya_3sSVCUBZP50V2X, 5693495]
[paragraph, [219.0, 178.0, 879.0, 36.0], shoonya_3sSVCUBZP50V2X, 5693495]
[paragraph, [219.0, 214.0, 879.0, 36.0], shoonya_3sSVCUBZP50V2X, 5693495]
[paragraph, [214.0, 284.0, 887.0, 36.0], shoonya_2sWDY2D74JI58N, 5693495]
[paragraph, [214.0, 320.0, 887.0, 36.0], shoonya_2sWDY2D74JI58N, 5693495]
[paragraph, [214.0, 356.0, 887.0, 36.0], shoonya_2sWDY2D74JI58N, 5693495]
[paragraph, [214.0, 392.0, 887.0, 36.0], shoonya_2sWDY2D74JI58N, 5693495]
[paragraph, [214.0, 428.0, 887.0, 36.0], shoonya_2sWDY2D74JI58N, 5693495]
[paragraph, [214.0, 464.0, 887.0, 36.0], shoonya_2sWDY2D74JI58N, 5693495]
[paragraph, [214.0, 500.0, 887.0, 36.0], shoonya_2sWDY2D74JI58N, 5693495]
[paragraph, [214.0, 536.0, 887.0, 36.0], shoonya_2sWDY2D74JI58N, 5693495]
[paragraph, [214.0, 572.0, 887.0, 36.0], shoonya_2sWDY2D74JI58N, 5693495]
[paragraph, [213.0, 737.0, 890.0, 36.0], shoonya_1s6MIK7L0YLIUP, 5693495]
[paragraph, [213.0, 773.0, 890.0, 36.0], shoonya_1s6MIK7L0YLIUP, 5693495]
[paragraph, [213.0, 809.0, 890.0, 36.0], shoonya_1s6MIK7L0YLIUP, 5693495]
[paragraph, [213.0, 845.0, 890.0, 36.0], shoonya_1s6MIK7L0YLIUP, 5693495]
[paragraph, [213.0, 881.0, 890.0, 36.0], shoonya_1s6MIK7L0YLIUP, 5693495]
[paragraph, [213.0, 917.0, 890.0, 36.0], shoonya_1s6MIK7L0YLIUP, 5693495]
[paragraph, [213.0, 953.0, 890.0, 36.0], shoonya_1s6MIK7L0YLIUP, 5693495]
[paragraph, [213.0, 989.0, 890.0, 36.0], shoonya_1s6MIK7L0YLIUP, 5693495]
[paragraph, [213.0, 1025.0, 890.0, 36.0], shoonya_1s6MIK7L0YLIUP, 5693495]
[paragraph, [213.0, 1061.0, 890.0, 36.0], shoonya_1s6MIK7L0YLIUP, 5693495]
[paragraph, [211.0, 1161.0, 894.0, 36.0], shoonya_0sA6Q6UVYFHK91, 5693495]
[paragraph, [211.0, 1197.0, 894.0, 36.0], shoonya_0sA6Q6UVYFHK91, 5693495]
[paragraph, [211.0, 1233.0, 894.0, 36.0], shoonya_0sA6Q6UVYFHK91, 5693495]
[paragraph, [211.0, 1269.0, 894.0, 36.0], shoonya_0sA6Q6UVYFHK91, 5693495]
[paragraph, [211.0, 1305.0, 894.0, 36.0], shoonya_0sA6Q6UVYFHK91, 5693495]
[paragraph, [211.0, 1341.0, 894.0, 36.0], shoonya_0sA6Q6UVYFHK91, 5693495]
[paragraph, [211.0, 1377.0, 894.0, 36.0], shoonya_0sA6Q6UVYFHK91, 5693495]
[paragraph, [211.0, 1413.0, 894.0, 36.0], shoonya_0sA6Q6UVYFHK91, 5693495]
[paragraph, [211.0, 1449.0, 894.0, 36.0], shoonya_0sA6Q6UVYFHK91, 5693495]
