[1650, 1275]
[paragraph, [159.0, 162.0, 959.0, 36.0], shoonya_1sNWKF3ZKLFX0Y, 5779093]
[paragraph, [159.0, 198.0, 959.0, 36.0], shoonya_1sNWKF3ZKLFX0Y, 5779093]
[paragraph, [159.0, 234.0, 959.0, 36.0], shoonya_1sNWKF3ZKLFX0Y, 5779093]
[paragraph, [159.0, 270.0, 959.0, 36.0], shoonya_1sNWKF3ZKLFX0Y, 5779093]
[paragraph, [159.0, 306.0, 959.0, 36.0], shoonya_1sNWKF3ZKLFX0Y, 5779093]
[paragraph, [159.0, 342.0, 959.0, 36.0], shoonya_1sNWKF3ZKLFX0Y, 5779093]
[paragraph, [159.0, 378.0, 959.0, 36.0], shoonya_1sNWKF3ZKLFX0Y, 5779093]
[paragraph, [159.0, 414.0, 959.0, 36.0], shoonya_1sNWKF3ZKLFX0Y, 5779093]
[paragraph, [159.0, 450.0, 959.0, 36.0], shoonya_1sNWKF3ZKLFX0Y, 5779093]
[paragraph, [159.0, 486.0, 959.0, 36.0], shoonya_1sNWKF3ZKLFX0Y, 5779093]
[paragraph, [159.0, 522.0, 959.0, 36.0], shoonya_1sNWKF3ZKLFX0Y, 5779093]
[paragraph, [160.0, 577.0, 957.0, 36.0], shoonya_0s3C7UVG56MTGN, 5779093]
[paragraph, [160.0, 613.0, 957.0, 36.0], shoonya_0s3C7UVG56MTGN, 5779093]
[paragraph, [160.0, 649.0, 957.0, 36.0], shoonya_0s3C7UVG56MTGN, 5779093]
[paragraph, [160.0, 685.0, 957.0, 36.0], shoonya_0s3C7UVG56MTGN, 5779093]
[paragraph, [160.0, 721.0, 957.0, 36.0], shoonya_0s3C7UVG56MTGN, 5779093]
[paragraph, [160.0, 757.0, 957.0, 36.0], shoonya_0s3C7UVG56MTGN, 5779093]
[paragraph, [160.0, 793.0, 957.0, 36.0], shoonya_0s3C7UVG56MTGN, 5779093]
[paragraph, [160.0, 829.0, 957.0, 36.0], shoonya_0s3C7UVG56MTGN, 5779093]
[paragraph, [160.0, 865.0, 957.0, 36.0], shoonya_0s3C7UVG56MTGN, 5779093]
[paragraph, [160.0, 901.0, 957.0, 36.0], shoonya_0s3C7UVG56MTGN, 5779093]
[paragraph, [159.0, 986.0, 956.0, 36.0], shoonya_2s7N1PYDHANI9P, 5779093]
[paragraph, [159.0, 1022.0, 956.0, 36.0], shoonya_2s7N1PYDHANI9P, 5779093]
[paragraph, [159.0, 1058.0, 956.0, 36.0], shoonya_2s7N1PYDHANI9P, 5779093]
[paragraph, [159.0, 1094.0, 956.0, 36.0], shoonya_2s7N1PYDHANI9P, 5779093]
[paragraph, [159.0, 1130.0, 956.0, 36.0], shoonya_2s7N1PYDHANI9P, 5779093]
[paragraph, [159.0, 1166.0, 956.0, 36.0], shoonya_2s7N1PYDHANI9P, 5779093]
[paragraph, [159.0, 1202.0, 956.0, 36.0], shoonya_2s7N1PYDHANI9P, 5779093]
[paragraph, [159.0, 1238.0, 956.0, 36.0], shoonya_2s7N1PYDHANI9P, 5779093]
[paragraph, [159.0, 1274.0, 956.0, 36.0], shoonya_2s7N1PYDHANI9P, 5779093]
[paragraph, [159.0, 1310.0, 956.0, 36.0], shoonya_2s7N1PYDHANI9P, 5779093]
[paragraph, [159.0, 1346.0, 956.0, 36.0], shoonya_2s7N1PYDHANI9P, 5779093]
[paragraph, [160.0, 1401.0, 958.0, 36.0], shoonya_3sD1VBGRK1WX55, 5779093]
