[1755, 1240]
[section-title, [368.0, 233.0, 557.0, 49.5], ZBFZWiet3d, 5703593]
[section-title, [368.0, 282.5, 557.0, 49.5], ZBFZWiet3d, 5703593]
[section-title, [368.0, 332.0, 557.0, 49.5], ZBFZWiet3d, 5703593]
[subsub-section-title, [577.0, 672.0, 162.0, 43.5], Z_Jg8TnStu, 5703593]
[sub-section-title, [383.0, 749.0, 541.0, 36.0], R2vHWMX3O_, 5703593]
[sub-section-title, [383.0, 785.0, 541.0, 36.0], R2vHWMX3O_, 5703593]
[sub-section-title, [383.0, 821.0, 541.0, 36.0], R2vHWMX3O_, 5703593]
[sub-section-title, [383.0, 857.0, 541.0, 36.0], R2vHWMX3O_, 5703593]
[sub-section-title, [383.0, 893.0, 541.0, 36.0], R2vHWMX3O_, 5703593]
[subsub-section-title, [500.0, 961.0, 303.0, 43.5], 6z1M9oMmck, 5703593]
[author, [506.0, 1017.0, 297.0, 36.0], y_ZMqQDpnf, 5703593]
[author, [506.0, 1053.0, 297.0, 36.0], y_ZMqQDpnf, 5703593]
[subsub-section-title, [551.0, 1202.0, 207.0, 43.5], H3bA8zb_7x, 5703593]
[author, [549.0, 1262.0, 205.0, 36.0], VpYnDIz35n, 5703593]
[folio, [504.0, 1299.0, 318.0, 36.0], uJZQ7MBvjo, 5703593]
[folio, [504.0, 1335.0, 318.0, 36.0], uJZQ7MBvjo, 5703593]
[folio, [504.0, 1371.0, 318.0, 36.0], uJZQ7MBvjo, 5703593]
[folio, [297.0, 1500.0, 292.0, 36.0], zLk5225z_b, 5703593]
