[1650, 1275]
[paragraph, [144.0, 150.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [144.0, 186.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [144.0, 222.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [144.0, 258.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [144.0, 294.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [144.0, 330.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [144.0, 366.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [144.0, 402.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [144.0, 438.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [144.0, 474.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [144.0, 510.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [144.0, 546.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [144.0, 582.0, 992.0, 36.0], shoonya_1sETNLDAJIUQXY, 5704014]
[paragraph, [142.0, 675.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 711.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 747.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 783.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 819.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 855.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 891.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 927.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 963.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 999.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 1035.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 1071.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 1107.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 1143.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 1179.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 1215.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 1251.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 1287.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 1323.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
[paragraph, [142.0, 1359.0, 993.0, 36.0], shoonya_0sQHQ9K2UHFS6N, 5704014]
