[1755, 1240]
[paragraph, [179.0, 188.0, 881.0, 36.0], shoonya_3s2OKR41TU2RCN, 5704380]
[paragraph, [179.0, 224.0, 881.0, 36.0], shoonya_3s2OKR41TU2RCN, 5704380]
[paragraph, [179.0, 260.0, 881.0, 36.0], shoonya_3s2OKR41TU2RCN, 5704380]
[paragraph, [179.0, 296.0, 881.0, 36.0], shoonya_3s2OKR41TU2RCN, 5704380]
[paragraph, [179.0, 332.0, 881.0, 36.0], shoonya_3s2OKR41TU2RCN, 5704380]
[paragraph, [179.0, 368.0, 881.0, 36.0], shoonya_3s2OKR41TU2RCN, 5704380]
[paragraph, [181.0, 428.0, 877.0, 36.0], shoonya_2sDX3V2O9SG5HL, 5704380]
[paragraph, [181.0, 464.0, 877.0, 36.0], shoonya_2sDX3V2O9SG5HL, 5704380]
[paragraph, [181.0, 500.0, 877.0, 36.0], shoonya_2sDX3V2O9SG5HL, 5704380]
[paragraph, [181.0, 536.0, 877.0, 36.0], shoonya_2sDX3V2O9SG5HL, 5704380]
[paragraph, [181.0, 608.0, 877.0, 36.0], shoonya_5sLFZ53LOT5VGQ, 5704380]
[paragraph, [181.0, 644.0, 877.0, 36.0], shoonya_5sLFZ53LOT5VGQ, 5704380]
[paragraph, [183.0, 747.0, 878.0, 36.0], shoonya_4sQ1ZZHFX8LV9A, 5704380]
[paragraph, [183.0, 783.0, 878.0, 36.0], shoonya_4sQ1ZZHFX8LV9A, 5704380]
[paragraph, [182.0, 864.0, 879.0, 36.0], ZkbBYSr_zp, 5704380]
[paragraph, [182.0, 900.0, 879.0, 36.0], ZkbBYSr_zp, 5704380]
[paragraph, [182.0, 936.0, 879.0, 36.0], ZkbBYSr_zp, 5704380]
[paragraph, [181.0, 989.0, 879.0, 36.0], shoonya_0sI5AUYJLZJY56, 5704380]
[paragraph, [181.0, 1025.0, 879.0, 36.0], shoonya_0sI5AUYJLZJY56, 5704380]
[paragraph, [181.0, 1061.0, 879.0, 36.0], shoonya_0sI5AUYJLZJY56, 5704380]
[paragraph, [181.0, 1097.0, 879.0, 36.0], shoonya_0sI5AUYJLZJY56, 5704380]
[paragraph, [179.0, 1170.0, 882.0, 36.0], shoonya_1sI62CZP332ZJ2, 5704380]
[paragraph, [179.0, 1206.0, 882.0, 36.0], shoonya_1sI62CZP332ZJ2, 5704380]
[paragraph, [179.0, 1242.0, 882.0, 36.0], shoonya_1sI62CZP332ZJ2, 5704380]
[paragraph, [179.0, 1278.0, 882.0, 36.0], shoonya_1sI62CZP332ZJ2, 5704380]
[paragraph, [179.0, 1314.0, 882.0, 36.0], shoonya_1sI62CZP332ZJ2, 5704380]
[paragraph, [179.0, 1350.0, 882.0, 36.0], shoonya_1sI62CZP332ZJ2, 5704380]
[paragraph, [179.0, 1386.0, 882.0, 36.0], shoonya_1sI62CZP332ZJ2, 5704380]
[paragraph, [179.0, 1422.0, 882.0, 36.0], shoonya_1sI62CZP332ZJ2, 5704380]
[paragraph, [179.0, 1458.0, 882.0, 36.0], shoonya_1sI62CZP332ZJ2, 5704380]
