[1755, 1240]
[paragraph, [177.0, 189.0, 882.0, 36.0], shoonya_2sVB7TT45SL24H, 5704635]
[paragraph, [177.0, 225.0, 882.0, 36.0], shoonya_2sVB7TT45SL24H, 5704635]
[paragraph, [177.0, 261.0, 882.0, 36.0], shoonya_2sVB7TT45SL24H, 5704635]
[paragraph, [177.0, 297.0, 882.0, 36.0], shoonya_2sVB7TT45SL24H, 5704635]
[paragraph, [177.0, 333.0, 882.0, 36.0], shoonya_2sVB7TT45SL24H, 5704635]
[paragraph, [177.0, 369.0, 882.0, 36.0], shoonya_2sVB7TT45SL24H, 5704635]
[paragraph, [177.0, 405.0, 882.0, 36.0], shoonya_2sVB7TT45SL24H, 5704635]
[paragraph, [179.0, 487.0, 878.0, 36.0], shoonya_1sK9Y677XGMFSA, 5704635]
[paragraph, [179.0, 523.0, 878.0, 36.0], shoonya_1sK9Y677XGMFSA, 5704635]
[paragraph, [179.0, 559.0, 878.0, 36.0], shoonya_1sK9Y677XGMFSA, 5704635]
[paragraph, [179.0, 595.0, 878.0, 36.0], shoonya_1sK9Y677XGMFSA, 5704635]
[paragraph, [179.0, 631.0, 878.0, 36.0], shoonya_1sK9Y677XGMFSA, 5704635]
[paragraph, [179.0, 667.0, 878.0, 36.0], shoonya_1sK9Y677XGMFSA, 5704635]
[paragraph, [179.0, 703.0, 878.0, 36.0], shoonya_1sK9Y677XGMFSA, 5704635]
[paragraph, [179.0, 739.0, 878.0, 36.0], shoonya_1sK9Y677XGMFSA, 5704635]
[paragraph, [179.0, 775.0, 878.0, 36.0], shoonya_1sK9Y677XGMFSA, 5704635]
[paragraph, [179.0, 811.0, 878.0, 36.0], shoonya_1sK9Y677XGMFSA, 5704635]
[paragraph, [179.0, 847.0, 878.0, 36.0], shoonya_1sK9Y677XGMFSA, 5704635]
[paragraph, [179.0, 883.0, 878.0, 36.0], shoonya_1sK9Y677XGMFSA, 5704635]
[paragraph, [180.0, 949.0, 878.0, 36.0], shoonya_3sFPVQT9XA39RG, 5704635]
[paragraph, [180.0, 985.0, 878.0, 36.0], shoonya_3sFPVQT9XA39RG, 5704635]
[paragraph, [180.0, 1021.0, 878.0, 36.0], shoonya_3sFPVQT9XA39RG, 5704635]
[paragraph, [180.0, 1057.0, 878.0, 36.0], shoonya_3sFPVQT9XA39RG, 5704635]
[paragraph, [180.0, 1093.0, 878.0, 36.0], shoonya_3sFPVQT9XA39RG, 5704635]
[paragraph, [180.0, 1129.0, 878.0, 36.0], shoonya_3sFPVQT9XA39RG, 5704635]
[paragraph, [180.0, 1188.0, 879.0, 36.0], shoonya_0s4VXJQ9CFZR70, 5704635]
[paragraph, [180.0, 1224.0, 879.0, 36.0], shoonya_0s4VXJQ9CFZR70, 5704635]
[paragraph, [180.0, 1260.0, 879.0, 36.0], shoonya_0s4VXJQ9CFZR70, 5704635]
[paragraph, [180.0, 1296.0, 879.0, 36.0], shoonya_0s4VXJQ9CFZR70, 5704635]
[paragraph, [180.0, 1332.0, 879.0, 36.0], shoonya_0s4VXJQ9CFZR70, 5704635]
[paragraph, [180.0, 1368.0, 879.0, 36.0], shoonya_0s4VXJQ9CFZR70, 5704635]
[paragraph, [180.0, 1404.0, 879.0, 36.0], shoonya_0s4VXJQ9CFZR70, 5704635]
[paragraph, [180.0, 1440.0, 879.0, 36.0], shoonya_0s4VXJQ9CFZR70, 5704635]
[paragraph, [180.0, 1476.0, 879.0, 36.0], shoonya_0s4VXJQ9CFZR70, 5704635]
[paragraph, [180.0, 1512.0, 879.0, 36.0], shoonya_0s4VXJQ9CFZR70, 5704635]
