[2339, 1653]
[folio, [276.0, 198.0, 231.0, 36.0], 6aZXdWcpQY, 5655028]
[paragraph, [282.0, 313.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 349.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 385.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 421.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 457.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 493.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 529.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 565.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 601.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 637.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 673.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 709.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 745.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 781.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 817.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 853.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 889.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 925.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 961.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 997.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 1033.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 1069.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 1105.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 1141.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 1177.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[paragraph, [282.0, 1213.0, 1084.0, 36.0], shoonya_0s9QME6XO70QFK, 5655028]
[section-title, [291.0, 1293.0, 388.0, 52.5], shoonya_3sL07CVYMIKWYF, 5655028]
[paragraph, [284.0, 1387.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1423.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1459.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1495.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1531.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1567.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1603.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1639.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1675.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1711.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1747.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1783.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1819.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1855.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1891.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1927.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1963.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
[paragraph, [284.0, 1999.0, 1081.0, 36.0], shoonya_1sZMF99OXDKIFA, 5655028]
