[2178, 1466]
[folio, [157.0, 126.0, 133.0, 36.0], shoonya_4s55X5WTW2GXSM, 5655043]
[paragraph, [152.0, 977.0, 1175.0, 36.0], shoonya_2sXG6DCH38ZZHK, 5655043]
[paragraph, [152.0, 1013.0, 1175.0, 36.0], shoonya_2sXG6DCH38ZZHK, 5655043]
[paragraph, [152.0, 1049.0, 1175.0, 36.0], shoonya_2sXG6DCH38ZZHK, 5655043]
[paragraph, [152.0, 1085.0, 1175.0, 36.0], shoonya_2sXG6DCH38ZZHK, 5655043]
[paragraph, [152.0, 1121.0, 1175.0, 36.0], shoonya_2sXG6DCH38ZZHK, 5655043]
[paragraph, [152.0, 1157.0, 1175.0, 36.0], shoonya_2sXG6DCH38ZZHK, 5655043]
[paragraph, [152.0, 1193.0, 1175.0, 36.0], shoonya_2sXG6DCH38ZZHK, 5655043]
[paragraph, [152.0, 1384.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [152.0, 1420.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [152.0, 1456.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [152.0, 1492.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [152.0, 1528.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [152.0, 1564.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [152.0, 1600.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [152.0, 1636.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [152.0, 1672.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [152.0, 1708.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [152.0, 1744.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [152.0, 1780.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [152.0, 1816.0, 1170.0, 36.0], shoonya_1sCLNLGKEAP0UV, 5655043]
[paragraph, [151.0, 1908.0, 1159.0, 36.0], shoonya_5sDV7H8P3BQ6V3, 5655043]
[paragraph, [151.0, 1944.0, 1159.0, 36.0], shoonya_5sDV7H8P3BQ6V3, 5655043]
[paragraph, [151.0, 1980.0, 1159.0, 36.0], shoonya_5sDV7H8P3BQ6V3, 5655043]
