[2200, 1700]
[section-title, [731.0, 359.0, 329.0, 52.5], 7lPLzLKiUx, 5714924]
[paragraph, [337.0, 556.0, 1114.0, 36.0], shoonya_1sDD7I95P9OGF6, 5714924]
[paragraph, [337.0, 592.0, 1114.0, 36.0], shoonya_1sDD7I95P9OGF6, 5714924]
[paragraph, [337.0, 628.0, 1114.0, 36.0], shoonya_1sDD7I95P9OGF6, 5714924]
[paragraph, [337.0, 664.0, 1114.0, 36.0], shoonya_1sDD7I95P9OGF6, 5714924]
[paragraph, [337.0, 700.0, 1114.0, 36.0], shoonya_1sDD7I95P9OGF6, 5714924]
[paragraph, [337.0, 736.0, 1114.0, 36.0], shoonya_1sDD7I95P9OGF6, 5714924]
[paragraph, [337.0, 772.0, 1114.0, 36.0], shoonya_1sDD7I95P9OGF6, 5714924]
[paragraph, [337.0, 808.0, 1114.0, 36.0], shoonya_1sDD7I95P9OGF6, 5714924]
[paragraph, [337.0, 844.0, 1114.0, 36.0], shoonya_1sDD7I95P9OGF6, 5714924]
[paragraph, [337.0, 880.0, 1114.0, 36.0], shoonya_1sDD7I95P9OGF6, 5714924]
[paragraph, [337.0, 916.0, 1114.0, 36.0], shoonya_1sDD7I95P9OGF6, 5714924]
[placeholder-text, [338.0, 1328.0, 248.0, 18.0], shoonya_2sGU3I6NYVVBNP, 5714924]
[placeholder-text, [338.0, 1346.0, 248.0, 18.0], shoonya_2sGU3I6NYVVBNP, 5714924]
[placeholder-text, [338.0, 1364.0, 248.0, 18.0], shoonya_2sGU3I6NYVVBNP, 5714924]
[placeholder-text, [338.0, 1382.0, 248.0, 18.0], shoonya_2sGU3I6NYVVBNP, 5714924]
[placeholder-text, [338.0, 1400.0, 248.0, 18.0], shoonya_2sGU3I6NYVVBNP, 5714924]
[placeholder-text, [338.0, 1418.0, 248.0, 18.0], shoonya_2sGU3I6NYVVBNP, 5714924]
[placeholder-text, [943.0, 1339.0, 432.0, 18.0], shoonya_0sNZE1XJPTD8UB, 5714924]
[placeholder-text, [943.0, 1357.0, 432.0, 18.0], shoonya_0sNZE1XJPTD8UB, 5714924]
[placeholder-text, [943.0, 1375.0, 432.0, 18.0], shoonya_0sNZE1XJPTD8UB, 5714924]
[placeholder-text, [943.0, 1393.0, 432.0, 18.0], shoonya_0sNZE1XJPTD8UB, 5714924]
[placeholder-text, [943.0, 1411.0, 432.0, 18.0], shoonya_0sNZE1XJPTD8UB, 5714924]
