[2339, 1653]
[unordered-list, [491.0, 191.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 227.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 263.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 299.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 335.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 371.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 407.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 443.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 479.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 515.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 551.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 587.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 623.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 659.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 695.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 731.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 767.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 803.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 839.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 875.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 911.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 947.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 983.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 1019.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 1055.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 1091.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 1127.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 1163.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[unordered-list, [491.0, 1199.0, 981.0, 36.0], shoonya_0sM6MGHWSTDKP7, 5734589]
[paragraph, [354.0, 1257.0, 1122.0, 36.0], h1CR0nwj_N, 5734589]
[paragraph, [354.0, 1293.0, 1122.0, 36.0], h1CR0nwj_N, 5734589]
[paragraph, [354.0, 1329.0, 1122.0, 36.0], h1CR0nwj_N, 5734589]
[paragraph, [354.0, 1365.0, 1122.0, 36.0], h1CR0nwj_N, 5734589]
[folio, [854.0, 2175.0, 554.0, 36.0], uTf627HA6N, 5734589]
