[2200, 1700]
[paragraph, [374.0, 115.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 151.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 187.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 223.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 259.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 295.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 331.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 367.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 403.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 439.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 475.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 511.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 547.0, 1138.0, 36.0], shoonya_3sHFZRDN3Q8D65, 5733704]
[paragraph, [374.0, 636.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 672.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 708.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 744.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 780.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 816.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 852.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 888.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 924.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 960.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 996.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 1032.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 1068.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 1104.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 1140.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 1176.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 1212.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 1248.0, 1140.0, 36.0], shoonya_0sNX3XL04G6H9B, 5733704]
[paragraph, [374.0, 1327.0, 1136.0, 36.0], shoonya_1sVSYLGZI6S4W9, 5733704]
[paragraph, [374.0, 1363.0, 1136.0, 36.0], shoonya_1sVSYLGZI6S4W9, 5733704]
[paragraph, [374.0, 1399.0, 1136.0, 36.0], shoonya_1sVSYLGZI6S4W9, 5733704]
[paragraph, [374.0, 1435.0, 1136.0, 36.0], shoonya_1sVSYLGZI6S4W9, 5733704]
[paragraph, [374.0, 1471.0, 1136.0, 36.0], shoonya_1sVSYLGZI6S4W9, 5733704]
[paragraph, [374.0, 1507.0, 1136.0, 36.0], shoonya_1sVSYLGZI6S4W9, 5733704]
[paragraph, [374.0, 1543.0, 1136.0, 36.0], shoonya_1sVSYLGZI6S4W9, 5733704]
[paragraph, [374.0, 1579.0, 1136.0, 36.0], shoonya_1sVSYLGZI6S4W9, 5733704]
[paragraph, [374.0, 1615.0, 1136.0, 36.0], shoonya_1sVSYLGZI6S4W9, 5733704]
[paragraph, [374.0, 1651.0, 1136.0, 36.0], shoonya_1sVSYLGZI6S4W9, 5733704]
[paragraph, [374.0, 1687.0, 1136.0, 36.0], shoonya_1sVSYLGZI6S4W9, 5733704]
[paragraph, [374.0, 1723.0, 1136.0, 36.0], shoonya_1sVSYLGZI6S4W9, 5733704]
[paragraph, [375.0, 1795.0, 1135.0, 36.0], shoonya_2sQU7AYGYDE30Y, 5733704]
[paragraph, [375.0, 1831.0, 1135.0, 36.0], shoonya_2sQU7AYGYDE30Y, 5733704]
[paragraph, [375.0, 1867.0, 1135.0, 36.0], shoonya_2sQU7AYGYDE30Y, 5733704]
[paragraph, [375.0, 1903.0, 1135.0, 36.0], shoonya_2sQU7AYGYDE30Y, 5733704]
[paragraph, [375.0, 1939.0, 1135.0, 36.0], shoonya_2sQU7AYGYDE30Y, 5733704]
[paragraph, [375.0, 1975.0, 1135.0, 36.0], shoonya_2sQU7AYGYDE30Y, 5733704]
[paragraph, [375.0, 2011.0, 1135.0, 36.0], shoonya_2sQU7AYGYDE30Y, 5733704]
[folio, [1339.0, 2128.0, 117.0, 36.0], shoonya_4s3Q5YO6QLBF8G, 5733704]
