[2200, 1700]
[paragraph, [371.0, 117.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 153.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 189.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 225.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 261.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 297.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 333.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 369.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 405.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 441.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 477.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 513.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 549.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 585.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [371.0, 621.0, 1135.0, 36.0], shoonya_2sSVJDUPZULXIP, 5734605]
[paragraph, [372.0, 693.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 729.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 765.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 801.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 837.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 873.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 909.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 945.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 981.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 1017.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 1053.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 1089.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 1125.0, 1134.0, 36.0], shoonya_1sSIEEB7HPG2Z4, 5734605]
[paragraph, [372.0, 1213.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1249.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1285.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1321.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1357.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1393.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1429.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1465.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1501.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1537.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1573.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1609.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1645.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1681.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1717.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1753.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1789.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [372.0, 1825.0, 1132.0, 36.0], shoonya_0s5I9LI4EU8JE5, 5734605]
[paragraph, [356.0, 1962.0, 1158.0, 36.0], zdKdx2CvV2, 5734605]
[paragraph, [356.0, 1998.0, 1158.0, 36.0], zdKdx2CvV2, 5734605]
[paragraph, [356.0, 2034.0, 1158.0, 36.0], zdKdx2CvV2, 5734605]
