[2200, 1700]
[paragraph, [373.0, 119.0, 1120.0, 36.0], shoonya_3sLMXHFOOWC1TZ, 5734169]
[paragraph, [373.0, 155.0, 1120.0, 36.0], shoonya_3sLMXHFOOWC1TZ, 5734169]
[paragraph, [373.0, 191.0, 1120.0, 36.0], shoonya_3sLMXHFOOWC1TZ, 5734169]
[paragraph, [372.0, 249.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 285.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 321.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 357.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 393.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 429.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 465.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 501.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 537.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 573.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 609.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 645.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 681.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 717.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 753.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 789.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 825.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 861.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 897.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [372.0, 933.0, 1133.0, 36.0], shoonya_0sUA0909FINMC1, 5734169]
[paragraph, [373.0, 991.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1027.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1063.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1099.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1135.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1171.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1207.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1243.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1279.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1315.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1351.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1387.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1423.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1459.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1495.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [373.0, 1531.0, 1134.0, 36.0], shoonya_1sDK3LDE17ENTO, 5734169]
[paragraph, [371.0, 1626.0, 1135.0, 36.0], shoonya_2sQLDGB5KI2ZL2, 5734169]
[paragraph, [371.0, 1662.0, 1135.0, 36.0], shoonya_2sQLDGB5KI2ZL2, 5734169]
[paragraph, [371.0, 1698.0, 1135.0, 36.0], shoonya_2sQLDGB5KI2ZL2, 5734169]
[paragraph, [371.0, 1734.0, 1135.0, 36.0], shoonya_2sQLDGB5KI2ZL2, 5734169]
[paragraph, [371.0, 1770.0, 1135.0, 36.0], shoonya_2sQLDGB5KI2ZL2, 5734169]
[paragraph, [371.0, 1806.0, 1135.0, 36.0], shoonya_2sQLDGB5KI2ZL2, 5734169]
[paragraph, [371.0, 1842.0, 1135.0, 36.0], shoonya_2sQLDGB5KI2ZL2, 5734169]
[paragraph, [371.0, 1878.0, 1135.0, 36.0], shoonya_2sQLDGB5KI2ZL2, 5734169]
[paragraph, [371.0, 1914.0, 1135.0, 36.0], shoonya_2sQLDGB5KI2ZL2, 5734169]
[paragraph, [371.0, 1950.0, 1135.0, 36.0], shoonya_2sQLDGB5KI2ZL2, 5734169]
[paragraph, [371.0, 1986.0, 1135.0, 36.0], shoonya_2sQLDGB5KI2ZL2, 5734169]
[paragraph, [371.0, 2022.0, 1135.0, 36.0], shoonya_2sQLDGB5KI2ZL2, 5734169]
