[842, 595]
[folio, [270.0, 127.0, 72.0, 18.0], pxk19az3P6, 6513781]
[paragraph, [145.0, 161.0, 322.0, 18.0], shoonya_2s33VEUPNWMYDO, 6513781]
[paragraph, [145.0, 179.0, 322.0, 18.0], shoonya_2s33VEUPNWMYDO, 6513781]
[paragraph, [144.0, 212.0, 326.0, 18.0], shoonya_0sY9DRNIKKWZQK, 6513781]
[paragraph, [144.0, 230.0, 326.0, 18.0], shoonya_0sY9DRNIKKWZQK, 6513781]
[paragraph, [144.0, 248.0, 326.0, 18.0], shoonya_0sY9DRNIKKWZQK, 6513781]
[paragraph, [144.0, 266.0, 326.0, 18.0], shoonya_0sY9DRNIKKWZQK, 6513781]
[paragraph, [144.0, 284.0, 326.0, 18.0], shoonya_0sY9DRNIKKWZQK, 6513781]
[paragraph, [144.0, 302.0, 326.0, 18.0], shoonya_0sY9DRNIKKWZQK, 6513781]
[paragraph, [144.0, 320.0, 326.0, 18.0], shoonya_0sY9DRNIKKWZQK, 6513781]
[paragraph, [144.0, 338.0, 326.0, 18.0], shoonya_0sY9DRNIKKWZQK, 6513781]
[paragraph, [144.0, 356.0, 326.0, 18.0], shoonya_0sY9DRNIKKWZQK, 6513781]
[paragraph, [144.0, 374.0, 326.0, 18.0], shoonya_0sY9DRNIKKWZQK, 6513781]
[paragraph, [144.0, 392.0, 326.0, 18.0], shoonya_0sY9DRNIKKWZQK, 6513781]
[paragraph, [145.0, 429.0, 322.0, 18.0], shoonya_1sWYFSSB0QMU3X, 6513781]
[paragraph, [145.0, 447.0, 322.0, 18.0], shoonya_1sWYFSSB0QMU3X, 6513781]
[paragraph, [145.0, 465.0, 322.0, 18.0], shoonya_1sWYFSSB0QMU3X, 6513781]
[paragraph, [145.0, 483.0, 322.0, 18.0], shoonya_1sWYFSSB0QMU3X, 6513781]
[paragraph, [145.0, 501.0, 322.0, 18.0], shoonya_1sWYFSSB0QMU3X, 6513781]
[paragraph, [145.0, 519.0, 322.0, 18.0], shoonya_1sWYFSSB0QMU3X, 6513781]
[paragraph, [145.0, 537.0, 322.0, 18.0], shoonya_1sWYFSSB0QMU3X, 6513781]
[paragraph, [145.0, 555.0, 322.0, 18.0], shoonya_1sWYFSSB0QMU3X, 6513781]
