[1754, 1241]
[paragraph, [214.0, 144.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[paragraph, [214.0, 180.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[paragraph, [214.0, 216.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[paragraph, [214.0, 252.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[paragraph, [214.0, 288.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[paragraph, [214.0, 324.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[paragraph, [214.0, 360.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[paragraph, [214.0, 396.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[paragraph, [214.0, 432.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[paragraph, [214.0, 468.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[paragraph, [214.0, 504.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[paragraph, [214.0, 540.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[paragraph, [214.0, 576.0, 882.0, 36.0], Nj4YpwJbIL, 6470698]
[section-title, [207.0, 671.0, 541.0, 49.5], qHfw02SOFC, 6470698]
[paragraph, [209.0, 747.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 783.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 819.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 855.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 891.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 927.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 963.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 999.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1035.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1071.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1107.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1143.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1179.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1215.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1251.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1287.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1323.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1359.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1395.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1431.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[paragraph, [209.0, 1467.0, 892.0, 36.0], shoonya_0sQ4X111OOW3H7, 6470698]
[footnote, [209.0, 1527.0, 890.0, 36.0], kg9GTUFBtS, 6470698]
[footnote, [209.0, 1563.0, 890.0, 36.0], kg9GTUFBtS, 6470698]
