[1754, 1241]
[paragraph, [206.0, 138.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 174.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 210.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 246.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 282.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 318.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 354.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 390.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 426.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 462.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 498.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 534.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 570.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 606.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 642.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 678.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 714.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 750.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 786.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [206.0, 822.0, 896.0, 36.0], shoonya_0sCDP0Y8J7UZSH, 6471063]
[paragraph, [213.0, 923.0, 887.0, 36.0], IuxQQ4rpnr, 6471063]
[paragraph, [213.0, 959.0, 887.0, 36.0], IuxQQ4rpnr, 6471063]
[paragraph, [213.0, 995.0, 887.0, 36.0], IuxQQ4rpnr, 6471063]
[paragraph, [213.0, 1031.0, 887.0, 36.0], IuxQQ4rpnr, 6471063]
[paragraph, [213.0, 1067.0, 887.0, 36.0], IuxQQ4rpnr, 6471063]
[paragraph, [213.0, 1103.0, 887.0, 36.0], IuxQQ4rpnr, 6471063]
[paragraph, [215.0, 1281.0, 881.0, 36.0], VrM5hU2RlI, 6471063]
[paragraph, [215.0, 1317.0, 881.0, 36.0], VrM5hU2RlI, 6471063]
[paragraph, [215.0, 1353.0, 881.0, 36.0], VrM5hU2RlI, 6471063]
[paragraph, [215.0, 1389.0, 881.0, 36.0], VrM5hU2RlI, 6471063]
[paragraph, [215.0, 1425.0, 881.0, 36.0], VrM5hU2RlI, 6471063]
[paragraph, [215.0, 1461.0, 881.0, 36.0], VrM5hU2RlI, 6471063]
[paragraph, [215.0, 1497.0, 881.0, 36.0], VrM5hU2RlI, 6471063]
[paragraph, [215.0, 1533.0, 881.0, 36.0], VrM5hU2RlI, 6471063]
