[1754, 1241]
[section-title, [556.0, 130.0, 165.0, 49.5], s-Ia2tRLHz, 6471076]
[sub-section-title, [213.0, 232.0, 266.0, 36.0], KrM-ABxn-g, 6471076]
[paragraph, [218.0, 396.0, 881.0, 36.0], lG3jgKU2zs, 6471076]
[paragraph, [218.0, 432.0, 881.0, 36.0], lG3jgKU2zs, 6471076]
[paragraph, [218.0, 468.0, 881.0, 36.0], lG3jgKU2zs, 6471076]
[paragraph, [218.0, 504.0, 881.0, 36.0], lG3jgKU2zs, 6471076]
[paragraph, [218.0, 540.0, 881.0, 36.0], lG3jgKU2zs, 6471076]
[paragraph, [218.0, 576.0, 881.0, 36.0], lG3jgKU2zs, 6471076]
[paragraph, [218.0, 612.0, 881.0, 36.0], lG3jgKU2zs, 6471076]
[paragraph, [218.0, 648.0, 881.0, 36.0], lG3jgKU2zs, 6471076]
[paragraph, [218.0, 684.0, 881.0, 36.0], lG3jgKU2zs, 6471076]
[paragraph, [218.0, 720.0, 881.0, 36.0], lG3jgKU2zs, 6471076]
[paragraph, [218.0, 756.0, 881.0, 36.0], lG3jgKU2zs, 6471076]
[paragraph, [216.0, 858.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [216.0, 894.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [216.0, 930.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [216.0, 966.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [216.0, 1002.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [216.0, 1038.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [216.0, 1074.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [216.0, 1110.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [216.0, 1146.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [216.0, 1182.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [216.0, 1218.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [216.0, 1254.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [216.0, 1290.0, 884.0, 36.0], shoonya_0s2J55RTFLEB80, 6471076]
[paragraph, [213.0, 1377.0, 881.0, 36.0], t237sJOv8R, 6471076]
[paragraph, [213.0, 1413.0, 881.0, 36.0], t237sJOv8R, 6471076]
[paragraph, [213.0, 1449.0, 881.0, 36.0], t237sJOv8R, 6471076]
[paragraph, [213.0, 1485.0, 881.0, 36.0], t237sJOv8R, 6471076]
[paragraph, [213.0, 1521.0, 881.0, 36.0], t237sJOv8R, 6471076]
