[1754, 1241]
[paragraph, [208.0, 130.0, 888.0, 36.0], shoonya_0sDVU0X7TY816H, 6471336]
[paragraph, [208.0, 166.0, 888.0, 36.0], shoonya_0sDVU0X7TY816H, 6471336]
[paragraph, [208.0, 202.0, 888.0, 36.0], shoonya_0sDVU0X7TY816H, 6471336]
[paragraph, [210.0, 255.0, 886.0, 36.0], yu17cUNs28, 6471336]
[paragraph, [210.0, 291.0, 886.0, 36.0], yu17cUNs28, 6471336]
[paragraph, [210.0, 327.0, 886.0, 36.0], yu17cUNs28, 6471336]
[paragraph, [210.0, 363.0, 886.0, 36.0], yu17cUNs28, 6471336]
[paragraph, [202.0, 430.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 466.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 502.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 538.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 574.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 610.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 646.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 682.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 718.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 754.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 790.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 826.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 862.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 898.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 934.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 970.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 1006.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 1042.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 1078.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 1114.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 1150.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 1186.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 1222.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 1258.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 1294.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 1330.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[paragraph, [202.0, 1366.0, 908.0, 36.0], HnNkIQVbMN, 6471336]
[footnote, [212.0, 1501.0, 758.0, 36.0], iSal7hk_iW, 6471336]
[footnote, [212.0, 1537.0, 758.0, 36.0], iSal7hk_iW, 6471336]
