[1754, 1241]
[paragraph, [208.0, 138.0, 905.0, 36.0], shoonya_0s0RLR9NXP3Y68, 6471301]
[paragraph, [208.0, 174.0, 905.0, 36.0], shoonya_0s0RLR9NXP3Y68, 6471301]
[paragraph, [208.0, 210.0, 905.0, 36.0], shoonya_0s0RLR9NXP3Y68, 6471301]
[paragraph, [208.0, 246.0, 905.0, 36.0], shoonya_0s0RLR9NXP3Y68, 6471301]
[paragraph, [208.0, 282.0, 905.0, 36.0], shoonya_0s0RLR9NXP3Y68, 6471301]
[paragraph, [208.0, 318.0, 905.0, 36.0], shoonya_0s0RLR9NXP3Y68, 6471301]
[paragraph, [208.0, 354.0, 905.0, 36.0], shoonya_0s0RLR9NXP3Y68, 6471301]
[paragraph, [208.0, 390.0, 905.0, 36.0], shoonya_0s0RLR9NXP3Y68, 6471301]
[paragraph, [208.0, 426.0, 905.0, 36.0], shoonya_0s0RLR9NXP3Y68, 6471301]
[paragraph, [205.0, 486.0, 900.0, 36.0], Fn5aRXtTJw, 6471301]
[paragraph, [205.0, 522.0, 900.0, 36.0], Fn5aRXtTJw, 6471301]
[paragraph, [205.0, 558.0, 900.0, 36.0], Fn5aRXtTJw, 6471301]
[paragraph, [205.0, 594.0, 900.0, 36.0], Fn5aRXtTJw, 6471301]
[paragraph, [205.0, 630.0, 900.0, 36.0], Fn5aRXtTJw, 6471301]
[paragraph, [205.0, 666.0, 900.0, 36.0], Fn5aRXtTJw, 6471301]
[paragraph, [205.0, 702.0, 900.0, 36.0], Fn5aRXtTJw, 6471301]
[paragraph, [205.0, 738.0, 900.0, 36.0], Fn5aRXtTJw, 6471301]
[paragraph, [205.0, 774.0, 900.0, 36.0], Fn5aRXtTJw, 6471301]
[paragraph, [202.0, 830.0, 913.0, 36.0], aexggdBTR6, 6471301]
[paragraph, [202.0, 866.0, 913.0, 36.0], aexggdBTR6, 6471301]
[paragraph, [202.0, 902.0, 913.0, 36.0], aexggdBTR6, 6471301]
[paragraph, [202.0, 938.0, 913.0, 36.0], aexggdBTR6, 6471301]
[paragraph, [202.0, 974.0, 913.0, 36.0], aexggdBTR6, 6471301]
[paragraph, [202.0, 1010.0, 913.0, 36.0], aexggdBTR6, 6471301]
[paragraph, [202.0, 1046.0, 913.0, 36.0], aexggdBTR6, 6471301]
[paragraph, [202.0, 1082.0, 913.0, 36.0], aexggdBTR6, 6471301]
[paragraph, [202.0, 1118.0, 913.0, 36.0], aexggdBTR6, 6471301]
[paragraph, [202.0, 1154.0, 913.0, 36.0], aexggdBTR6, 6471301]
[paragraph, [202.0, 1190.0, 913.0, 36.0], aexggdBTR6, 6471301]
[paragraph, [202.0, 1226.0, 913.0, 36.0], aexggdBTR6, 6471301]
[footnote, [215.0, 1334.0, 901.0, 36.0], ib5CEVLDpm, 6471301]
[footnote, [215.0, 1370.0, 901.0, 36.0], ib5CEVLDpm, 6471301]
[footnote, [215.0, 1406.0, 901.0, 36.0], ib5CEVLDpm, 6471301]
[footnote, [215.0, 1442.0, 901.0, 36.0], ib5CEVLDpm, 6471301]
[footnote, [215.0, 1478.0, 901.0, 36.0], ib5CEVLDpm, 6471301]
[footnote, [215.0, 1514.0, 901.0, 36.0], ib5CEVLDpm, 6471301]
[footnote, [215.0, 1550.0, 901.0, 36.0], ib5CEVLDpm, 6471301]
[website-link, [237.0, 1374.0, 387.0, 18.0], 8DOmnhVD3L, 6471301]
[website-link, [242.0, 1431.0, 362.0, 18.0], DaQZ0sAWJg, 6471301]
[website-link, [753.0, 1456.0, 283.0, 18.0], qFzf9mTzfP, 6471301]
