[1755, 1240]
[paragraph, [224.0, 235.0, 789.0, 36.0], shoonya_6sFJPQ0MFEN36Z, 5743475]
[paragraph, [224.0, 271.0, 789.0, 36.0], shoonya_6sFJPQ0MFEN36Z, 5743475]
[paragraph, [224.0, 307.0, 789.0, 36.0], shoonya_6sFJPQ0MFEN36Z, 5743475]
[paragraph, [224.0, 343.0, 789.0, 36.0], shoonya_6sFJPQ0MFEN36Z, 5743475]
[paragraph, [220.0, 386.0, 795.0, 36.0], sWCeKsMdjh, 5743475]
[paragraph, [220.0, 422.0, 795.0, 36.0], sWCeKsMdjh, 5743475]
[paragraph, [454.0, 497.0, 311.0, 36.0], shoonya_5sOF2LGY8M91U0, 5743475]
[paragraph, [454.0, 533.0, 311.0, 36.0], shoonya_5sOF2LGY8M91U0, 5743475]
[paragraph, [454.0, 569.0, 311.0, 36.0], shoonya_5sOF2LGY8M91U0, 5743475]
[paragraph, [221.0, 632.0, 790.0, 36.0], shoonya_2sXZ530Z22BPKW, 5743475]
[paragraph, [221.0, 668.0, 790.0, 36.0], shoonya_2sXZ530Z22BPKW, 5743475]
[paragraph, [220.0, 794.0, 783.0, 36.0], shoonya_0sB3W6PWEMDWRC, 5743475]
[paragraph, [220.0, 830.0, 783.0, 36.0], shoonya_0sB3W6PWEMDWRC, 5743475]
[paragraph, [220.0, 866.0, 783.0, 36.0], shoonya_0sB3W6PWEMDWRC, 5743475]
[paragraph, [220.0, 902.0, 783.0, 36.0], shoonya_0sB3W6PWEMDWRC, 5743475]
[paragraph, [220.0, 938.0, 783.0, 36.0], shoonya_0sB3W6PWEMDWRC, 5743475]
[paragraph, [220.0, 974.0, 783.0, 36.0], shoonya_0sB3W6PWEMDWRC, 5743475]
[paragraph, [220.0, 1010.0, 783.0, 36.0], shoonya_0sB3W6PWEMDWRC, 5743475]
[paragraph, [220.0, 1046.0, 783.0, 36.0], shoonya_0sB3W6PWEMDWRC, 5743475]
[paragraph, [220.0, 1082.0, 783.0, 36.0], shoonya_0sB3W6PWEMDWRC, 5743475]
[paragraph, [303.0, 1146.0, 292.0, 36.0], shoonya_4sNBP7RGCZL95T, 5743475]
[paragraph, [303.0, 1182.0, 292.0, 36.0], shoonya_4sNBP7RGCZL95T, 5743475]
[paragraph, [587.0, 1198.0, 426.0, 36.0], -4WVaALIIW, 5743475]
[paragraph, [230.0, 1248.0, 485.0, 36.0], EVNpMiMF6J, 5743475]
[paragraph, [223.0, 1362.0, 786.0, 36.0], shoonya_1sQZKA6II59E03, 5743475]
[paragraph, [223.0, 1398.0, 786.0, 36.0], shoonya_1sQZKA6II59E03, 5743475]
