[1755, 1240]
[folio, [644.0, 77.0, 489.0, 36.0], ewyfnFKK6F, 5744209]
[paragraph, [195.0, 204.0, 943.0, 36.0], eX9Br7FSaA, 5744209]
[paragraph, [195.0, 240.0, 943.0, 36.0], eX9Br7FSaA, 5744209]
[paragraph, [195.0, 276.0, 943.0, 36.0], eX9Br7FSaA, 5744209]
[paragraph, [195.0, 312.0, 943.0, 36.0], eX9Br7FSaA, 5744209]
[paragraph, [195.0, 348.0, 943.0, 36.0], eX9Br7FSaA, 5744209]
[paragraph, [195.0, 384.0, 943.0, 36.0], eX9Br7FSaA, 5744209]
[paragraph, [195.0, 420.0, 943.0, 36.0], eX9Br7FSaA, 5744209]
[paragraph, [195.0, 456.0, 943.0, 36.0], eX9Br7FSaA, 5744209]
[paragraph, [192.0, 517.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 553.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 589.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 625.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 661.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 697.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 733.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 769.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 805.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 841.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 877.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 913.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 949.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 985.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1021.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1057.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1093.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1129.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1165.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1201.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1237.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1273.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1309.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1345.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1381.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1417.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1453.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1489.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1525.0, 954.0, 36.0], FsycYuALgU, 5744209]
[paragraph, [192.0, 1561.0, 954.0, 36.0], FsycYuALgU, 5744209]
