[792, 612]
[folio, [251.0, 41.0, 270.0, 18.0], EA133sYKMi, 5743510]
[paragraph, [105.0, 66.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 84.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 102.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 120.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 138.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 156.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 174.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 192.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 210.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 228.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 246.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 264.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 282.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 300.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 318.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [105.0, 336.0, 420.0, 18.0], shoonya_0sS9W3U1MD0AJB, 5743510]
[paragraph, [109.0, 359.0, 421.0, 18.0], zu9PbQCJDR, 5743510]
[paragraph, [109.0, 377.0, 421.0, 18.0], zu9PbQCJDR, 5743510]
[paragraph, [109.0, 395.0, 421.0, 18.0], zu9PbQCJDR, 5743510]
[paragraph, [109.0, 413.0, 421.0, 18.0], zu9PbQCJDR, 5743510]
[paragraph, [109.0, 431.0, 421.0, 18.0], zu9PbQCJDR, 5743510]
[paragraph, [109.0, 449.0, 421.0, 18.0], zu9PbQCJDR, 5743510]
[paragraph, [109.0, 467.0, 421.0, 18.0], zu9PbQCJDR, 5743510]
[paragraph, [109.0, 485.0, 421.0, 18.0], zu9PbQCJDR, 5743510]
[paragraph, [109.0, 503.0, 421.0, 18.0], zu9PbQCJDR, 5743510]
[paragraph, [111.0, 549.0, 417.0, 18.0], Xg9ZITPdrM, 5743510]
[paragraph, [111.0, 567.0, 417.0, 18.0], Xg9ZITPdrM, 5743510]
[paragraph, [111.0, 585.0, 417.0, 18.0], Xg9ZITPdrM, 5743510]
[paragraph, [111.0, 603.0, 417.0, 18.0], Xg9ZITPdrM, 5743510]
[paragraph, [111.0, 621.0, 417.0, 18.0], Xg9ZITPdrM, 5743510]
[paragraph, [111.0, 639.0, 417.0, 18.0], Xg9ZITPdrM, 5743510]
[paragraph, [111.0, 657.0, 417.0, 18.0], Xg9ZITPdrM, 5743510]
[paragraph, [111.0, 675.0, 417.0, 18.0], Xg9ZITPdrM, 5743510]
[paragraph, [111.0, 693.0, 417.0, 18.0], Xg9ZITPdrM, 5743510]
