[644, 393]
[folio, [155.0, 30.0, 102.0, 18.0], shoonya_0sMG03L88J8ZIR, 6458750]
[paragraph, [33.0, 73.0, 328.0, 18.0], mcC4hcqslb, 6458750]
[paragraph, [33.0, 91.0, 328.0, 18.0], mcC4hcqslb, 6458750]
[paragraph, [33.0, 109.0, 328.0, 18.0], mcC4hcqslb, 6458750]
[paragraph, [33.0, 127.0, 328.0, 18.0], mcC4hcqslb, 6458750]
[paragraph, [33.0, 145.0, 328.0, 18.0], mcC4hcqslb, 6458750]
[paragraph, [33.0, 163.0, 328.0, 18.0], mcC4hcqslb, 6458750]
[paragraph, [25.0, 205.0, 336.0, 18.0], r8QHUXUS2t, 6458750]
[paragraph, [25.0, 223.0, 336.0, 18.0], r8QHUXUS2t, 6458750]
[paragraph, [25.0, 241.0, 336.0, 18.0], r8QHUXUS2t, 6458750]
[paragraph, [25.0, 259.0, 336.0, 18.0], r8QHUXUS2t, 6458750]
[paragraph, [107.0, 290.0, 174.0, 18.0], OvUEAPgLvy, 6458750]
[paragraph, [95.0, 317.0, 197.0, 18.0], oqfHcUA7F6, 6458750]
[paragraph, [95.0, 335.0, 197.0, 18.0], oqfHcUA7F6, 6458750]
[paragraph, [29.0, 357.0, 331.0, 18.0], DbzdESd1bE, 6458750]
[paragraph, [29.0, 375.0, 331.0, 18.0], DbzdESd1bE, 6458750]
[paragraph, [29.0, 393.0, 331.0, 18.0], DbzdESd1bE, 6458750]
[paragraph, [29.0, 411.0, 331.0, 18.0], DbzdESd1bE, 6458750]
[paragraph, [29.0, 429.0, 331.0, 18.0], DbzdESd1bE, 6458750]
[paragraph, [29.0, 447.0, 331.0, 18.0], DbzdESd1bE, 6458750]
[paragraph, [29.0, 465.0, 331.0, 18.0], DbzdESd1bE, 6458750]
[paragraph, [35.0, 507.0, 325.0, 18.0], Tm1r76gEd6, 6458750]
[paragraph, [35.0, 525.0, 325.0, 18.0], Tm1r76gEd6, 6458750]
[paragraph, [35.0, 543.0, 325.0, 18.0], Tm1r76gEd6, 6458750]
[paragraph, [35.0, 561.0, 325.0, 18.0], Tm1r76gEd6, 6458750]
