[1754, 1241]
[section-title, [423.0, 313.0, 390.0, 49.5], NizO7CaSFJ, 5761547]
[contact-info, [181.0, 481.0, 577.0, 36.0], 1o83_4X5h6, 5761547]
[contact-info, [181.0, 517.0, 577.0, 36.0], 1o83_4X5h6, 5761547]
[contact-info, [181.0, 553.0, 577.0, 36.0], 1o83_4X5h6, 5761547]
[contact-info, [181.0, 589.0, 577.0, 36.0], 1o83_4X5h6, 5761547]
[paragraph, [182.0, 716.0, 873.0, 36.0], shoonya_2sG8C4ET5NHW0N, 5761547]
[paragraph, [182.0, 752.0, 873.0, 36.0], shoonya_2sG8C4ET5NHW0N, 5761547]
[paragraph, [182.0, 788.0, 873.0, 36.0], shoonya_2sG8C4ET5NHW0N, 5761547]
[paragraph, [182.0, 824.0, 873.0, 36.0], shoonya_2sG8C4ET5NHW0N, 5761547]
[paragraph, [182.0, 860.0, 873.0, 36.0], shoonya_2sG8C4ET5NHW0N, 5761547]
[paragraph, [182.0, 896.0, 873.0, 36.0], shoonya_2sG8C4ET5NHW0N, 5761547]
[paragraph, [182.0, 932.0, 873.0, 36.0], shoonya_2sG8C4ET5NHW0N, 5761547]
[contact-info, [103.0, 1064.0, 522.0, 36.0], WqEnZprpjE, 5761547]
[contact-info, [103.0, 1100.0, 522.0, 36.0], WqEnZprpjE, 5761547]
[contact-info, [103.0, 1136.0, 522.0, 36.0], WqEnZprpjE, 5761547]
[contact-info, [103.0, 1172.0, 522.0, 36.0], WqEnZprpjE, 5761547]
[contact-info, [770.0, 1075.0, 299.0, 36.0], shoonya_0sA1427D162POR, 5761547]
[contact-info, [770.0, 1111.0, 299.0, 36.0], shoonya_0sA1427D162POR, 5761547]
[contact-info, [770.0, 1147.0, 299.0, 36.0], shoonya_0sA1427D162POR, 5761547]
[contact-info, [770.0, 1183.0, 299.0, 36.0], shoonya_0sA1427D162POR, 5761547]
[contact-info, [132.0, 1226.0, 394.0, 36.0], 1ZsVJVXT-R, 5761547]
[contact-info, [132.0, 1262.0, 394.0, 36.0], 1ZsVJVXT-R, 5761547]
[contact-info, [132.0, 1298.0, 394.0, 36.0], 1ZsVJVXT-R, 5761547]
[contact-info, [440.0, 1345.0, 409.0, 36.0], shoonya_3sMNR757K73G9M, 5761547]
[contact-info, [440.0, 1381.0, 409.0, 36.0], shoonya_3sMNR757K73G9M, 5761547]
[contact-info, [440.0, 1417.0, 409.0, 36.0], shoonya_3sMNR757K73G9M, 5761547]
[contact-info, [440.0, 1453.0, 409.0, 36.0], shoonya_3sMNR757K73G9M, 5761547]
[contact-info, [440.0, 1489.0, 409.0, 36.0], shoonya_3sMNR757K73G9M, 5761547]
