[1754, 1241]
[paragraph, [192.0, 221.0, 836.0, 36.0], 6HqzNj0LY0, 5761404]
[paragraph, [192.0, 257.0, 836.0, 36.0], 6HqzNj0LY0, 5761404]
[paragraph, [192.0, 293.0, 836.0, 36.0], 6HqzNj0LY0, 5761404]
[paragraph, [192.0, 329.0, 836.0, 36.0], 6HqzNj0LY0, 5761404]
[paragraph, [192.0, 365.0, 836.0, 36.0], 6HqzNj0LY0, 5761404]
[paragraph, [192.0, 401.0, 836.0, 36.0], 6HqzNj0LY0, 5761404]
[paragraph, [192.0, 437.0, 836.0, 36.0], 6HqzNj0LY0, 5761404]
[paragraph, [192.0, 473.0, 836.0, 36.0], 6HqzNj0LY0, 5761404]
[paragraph, [192.0, 509.0, 836.0, 36.0], 6HqzNj0LY0, 5761404]
[paragraph, [201.0, 653.0, 827.0, 36.0], shoonya_1s8Y44ZM1PH2IW, 5761404]
[paragraph, [201.0, 689.0, 827.0, 36.0], shoonya_1s8Y44ZM1PH2IW, 5761404]
[paragraph, [201.0, 725.0, 827.0, 36.0], shoonya_1s8Y44ZM1PH2IW, 5761404]
[paragraph, [201.0, 761.0, 827.0, 36.0], shoonya_1s8Y44ZM1PH2IW, 5761404]
[paragraph, [201.0, 797.0, 827.0, 36.0], shoonya_1s8Y44ZM1PH2IW, 5761404]
[paragraph, [201.0, 833.0, 827.0, 36.0], shoonya_1s8Y44ZM1PH2IW, 5761404]
[paragraph, [199.0, 933.0, 827.0, 36.0], shoonya_0sY37P91QXJW1P, 5761404]
[paragraph, [199.0, 969.0, 827.0, 36.0], shoonya_0sY37P91QXJW1P, 5761404]
[paragraph, [199.0, 1005.0, 827.0, 36.0], shoonya_0sY37P91QXJW1P, 5761404]
[paragraph, [199.0, 1041.0, 827.0, 36.0], shoonya_0sY37P91QXJW1P, 5761404]
[paragraph, [193.0, 1220.0, 842.0, 36.0], Py4SWvM4bZ, 5761404]
[paragraph, [193.0, 1256.0, 842.0, 36.0], Py4SWvM4bZ, 5761404]
[paragraph, [193.0, 1292.0, 842.0, 36.0], Py4SWvM4bZ, 5761404]
[paragraph, [193.0, 1328.0, 842.0, 36.0], Py4SWvM4bZ, 5761404]
[paragraph, [193.0, 1364.0, 842.0, 36.0], Py4SWvM4bZ, 5761404]
[paragraph, [193.0, 1400.0, 842.0, 36.0], Py4SWvM4bZ, 5761404]
[paragraph, [193.0, 1436.0, 842.0, 36.0], Py4SWvM4bZ, 5761404]
