[681, 511]
[folio, [318.0, 23.0, 130.0, 18.0], YU-rkbqZ98, 5761491]
[paragraph, [26.0, 51.0, 227.0, 18.0], shoonya_6sS8BKO98FF0WR, 5761491]
[paragraph, [26.0, 69.0, 227.0, 18.0], shoonya_6sS8BKO98FF0WR, 5761491]
[paragraph, [26.0, 87.0, 227.0, 18.0], shoonya_6sS8BKO98FF0WR, 5761491]
[paragraph, [26.0, 105.0, 227.0, 18.0], shoonya_6sS8BKO98FF0WR, 5761491]
[paragraph, [252.0, 51.0, 225.0, 18.0], SyQHmik9Ch, 5761491]
[paragraph, [252.0, 69.0, 225.0, 18.0], SyQHmik9Ch, 5761491]
[paragraph, [252.0, 87.0, 225.0, 18.0], SyQHmik9Ch, 5761491]
[paragraph, [252.0, 105.0, 225.0, 18.0], SyQHmik9Ch, 5761491]
[paragraph, [25.0, 124.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 142.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 160.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 178.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 196.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 214.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 232.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 250.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 268.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 286.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 304.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 322.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 340.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 358.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 376.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 394.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 412.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 430.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 448.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [25.0, 466.0, 227.0, 18.0], shoonya_4s4WHK44913XTN, 5761491]
[paragraph, [254.0, 126.0, 222.0, 18.0], shoonya_2s43YNU3CI6MIG, 5761491]
[paragraph, [254.0, 144.0, 222.0, 18.0], shoonya_2s43YNU3CI6MIG, 5761491]
[paragraph, [254.0, 162.0, 222.0, 18.0], shoonya_2s43YNU3CI6MIG, 5761491]
[paragraph, [254.0, 180.0, 222.0, 18.0], shoonya_2s43YNU3CI6MIG, 5761491]
[paragraph, [254.0, 198.0, 222.0, 18.0], shoonya_2s43YNU3CI6MIG, 5761491]
[paragraph, [253.0, 233.0, 223.0, 18.0], shoonya_1s9T1QNE92XGV7, 5761491]
[paragraph, [253.0, 251.0, 223.0, 18.0], shoonya_1s9T1QNE92XGV7, 5761491]
[paragraph, [253.0, 269.0, 223.0, 18.0], shoonya_1s9T1QNE92XGV7, 5761491]
