[1468, 909]
[headline, [302.0, 70.0, 427.0, 25.5], Tif2v6r9U3, 5770051]
[headline, [302.0, 95.5, 427.0, 25.5], Tif2v6r9U3, 5770051]
[paragraph, [68.0, 135.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 153.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 171.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 189.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 207.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 225.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 243.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 261.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 279.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 297.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 315.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 333.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 351.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 369.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 387.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 405.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 423.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 441.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 459.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 477.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 495.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 513.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 531.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 549.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 567.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 585.0, 388.0, 18.0], 4UkMP7porW, 5770051]
[paragraph, [68.0, 603.0, 388.0, 18.0], 4UkMP7porW, 5770051]
