[842, 595]
[headline, [68.0, 70.0, 452.0, 25.5], ZT8xJ8pwGE, 5689006]
[headline, [68.0, 95.5, 452.0, 25.5], ZT8xJ8pwGE, 5689006]
[sub-headline, [195.0, 127.0, 205.0, 25.5], shoonya_7sBXXSOUIPJM37, 5689006]
[paragraph, [102.0, 231.0, 425.0, 18.0], VSI6rME_Hm, 5689006]
[paragraph, [102.0, 249.0, 425.0, 18.0], VSI6rME_Hm, 5689006]
[paragraph, [102.0, 267.0, 425.0, 18.0], VSI6rME_Hm, 5689006]
[paragraph, [102.0, 285.0, 425.0, 18.0], VSI6rME_Hm, 5689006]
[paragraph, [102.0, 303.0, 425.0, 18.0], VSI6rME_Hm, 5689006]
[paragraph, [102.0, 321.0, 425.0, 18.0], VSI6rME_Hm, 5689006]
[paragraph, [102.0, 364.0, 428.0, 18.0], 95I1UGUrX0, 5689006]
[paragraph, [102.0, 382.0, 428.0, 18.0], 95I1UGUrX0, 5689006]
[paragraph, [102.0, 400.0, 428.0, 18.0], 95I1UGUrX0, 5689006]
[ordered-list, [111.0, 429.0, 414.0, 18.0], shoonya_1sVY3D67ZP0NRA, 5689006]
[ordered-list, [111.0, 447.0, 414.0, 18.0], shoonya_1sVY3D67ZP0NRA, 5689006]
[ordered-list, [111.0, 465.0, 414.0, 18.0], shoonya_1sVY3D67ZP0NRA, 5689006]
[ordered-list, [111.0, 483.0, 414.0, 18.0], shoonya_1sVY3D67ZP0NRA, 5689006]
[ordered-list, [111.0, 501.0, 414.0, 18.0], shoonya_1sVY3D67ZP0NRA, 5689006]
[ordered-list, [111.0, 519.0, 414.0, 18.0], shoonya_1sVY3D67ZP0NRA, 5689006]
[paragraph, [100.0, 580.0, 432.0, 18.0], M12It3y4B0, 5689006]
[paragraph, [100.0, 598.0, 432.0, 18.0], M12It3y4B0, 5689006]
[ordered-list, [112.0, 630.0, 413.0, 18.0], shoonya_6sYPCMEJCM7959, 5689006]
[ordered-list, [112.0, 648.0, 413.0, 18.0], shoonya_6sYPCMEJCM7959, 5689006]
[ordered-list, [112.0, 666.0, 413.0, 18.0], shoonya_6sYPCMEJCM7959, 5689006]
[ordered-list, [112.0, 684.0, 413.0, 18.0], shoonya_6sYPCMEJCM7959, 5689006]
[ordered-list, [112.0, 702.0, 413.0, 18.0], shoonya_6sYPCMEJCM7959, 5689006]
[footnote, [406.0, 738.0, 156.0, 18.0], JX1_dqTel6, 5689006]
[footnote, [406.0, 756.0, 156.0, 18.0], JX1_dqTel6, 5689006]
[footnote, [406.0, 774.0, 156.0, 18.0], JX1_dqTel6, 5689006]
[footnote, [406.0, 792.0, 156.0, 18.0], JX1_dqTel6, 5689006]
[footnote, [406.0, 810.0, 156.0, 18.0], JX1_dqTel6, 5689006]
