[3690, 2970]
[folio, [1136.0, 111.0, 694.0, 52.5], BQs16DS6au, 5698120]
[folio, [660.0, 263.0, 1652.0, 52.5], cFXmAyrdRY, 5698120]
[folio, [879.0, 363.0, 1206.0, 52.5], efBM9NR_yl, 5698120]
[section-title, [378.0, 493.0, 1262.0, 93.0], b1g0q5tBou, 5698120]
[sub-section-title, [247.0, 641.0, 927.0, 73.5], nDjRV_UNVl, 5698120]
[ordered-list, [256.0, 750.0, 1550.0, 52.5], shoonya_2s1DE0S1CNZM5R, 5698120]
[ordered-list, [256.0, 802.5, 1550.0, 52.5], shoonya_2s1DE0S1CNZM5R, 5698120]
[ordered-list, [256.0, 855.0, 1550.0, 52.5], shoonya_2s1DE0S1CNZM5R, 5698120]
[ordered-list, [256.0, 907.5, 1550.0, 52.5], shoonya_2s1DE0S1CNZM5R, 5698120]
[ordered-list, [256.0, 960.0, 1550.0, 52.5], shoonya_2s1DE0S1CNZM5R, 5698120]
[ordered-list, [256.0, 1012.5, 1550.0, 52.5], shoonya_2s1DE0S1CNZM5R, 5698120]
[ordered-list, [256.0, 1065.0, 1550.0, 52.5], shoonya_2s1DE0S1CNZM5R, 5698120]
[sub-section-title, [260.0, 1158.0, 967.0, 73.5], shoonya_1sLFVFO2HS0C7B, 5698120]
[ordered-list, [286.0, 1252.0, 1599.0, 52.5], zXrUM42EIQ, 5698120]
[ordered-list, [286.0, 1304.5, 1599.0, 52.5], zXrUM42EIQ, 5698120]
[ordered-list, [286.0, 1357.0, 1599.0, 52.5], zXrUM42EIQ, 5698120]
[ordered-list, [286.0, 1409.5, 1599.0, 52.5], zXrUM42EIQ, 5698120]
[ordered-list, [286.0, 1462.0, 1599.0, 52.5], zXrUM42EIQ, 5698120]
[ordered-list, [286.0, 1514.5, 1599.0, 52.5], zXrUM42EIQ, 5698120]
[ordered-list, [286.0, 1567.0, 1599.0, 52.5], zXrUM42EIQ, 5698120]
[ordered-list, [286.0, 1619.5, 1599.0, 52.5], zXrUM42EIQ, 5698120]
[ordered-list, [286.0, 1672.0, 1599.0, 52.5], zXrUM42EIQ, 5698120]
[sub-section-title, [263.0, 1769.0, 940.0, 73.5], PgCYJqFRvd, 5698120]
[ordered-list, [334.0, 1869.0, 1709.0, 52.5], lV4yAYayMD, 5698120]
[ordered-list, [334.0, 1921.5, 1709.0, 52.5], lV4yAYayMD, 5698120]
[ordered-list, [334.0, 1974.0, 1709.0, 52.5], lV4yAYayMD, 5698120]
[ordered-list, [334.0, 2026.5, 1709.0, 52.5], lV4yAYayMD, 5698120]
[ordered-list, [334.0, 2079.0, 1709.0, 52.5], lV4yAYayMD, 5698120]
[ordered-list, [334.0, 2131.5, 1709.0, 52.5], lV4yAYayMD, 5698120]
[ordered-list, [334.0, 2184.0, 1709.0, 52.5], lV4yAYayMD, 5698120]
[ordered-list, [334.0, 2236.5, 1709.0, 52.5], lV4yAYayMD, 5698120]
