[1754, 1241]
[paragraph, [140.0, 218.0, 975.0, 36.0], shoonya_4s7CHBCFVHFBDG, 5780880]
[paragraph, [132.0, 385.0, 982.0, 36.0], shoonya_0sO9OWAWSSVGXB, 5780880]
[paragraph, [132.0, 421.0, 982.0, 36.0], shoonya_0sO9OWAWSSVGXB, 5780880]
[paragraph, [132.0, 457.0, 982.0, 36.0], shoonya_0sO9OWAWSSVGXB, 5780880]
[paragraph, [144.0, 562.0, 970.0, 36.0], shoonya_7sM4UPWVAWPHW0, 5780880]
[paragraph, [144.0, 598.0, 970.0, 36.0], shoonya_7sM4UPWVAWPHW0, 5780880]
[paragraph, [138.0, 682.0, 988.0, 36.0], shoonya_6sUX60OQR7DK40, 5780880]
[paragraph, [138.0, 718.0, 988.0, 36.0], shoonya_6sUX60OQR7DK40, 5780880]
[section-title, [138.0, 801.0, 217.0, 49.5], shoonya_2sRH6R9RBQORFL, 5780880]
[ordered-list, [182.0, 857.0, 684.0, 36.0], shoonya_12s9T8SJI96Q9J, 5780880]
[ordered-list, [182.0, 893.0, 684.0, 36.0], shoonya_12s9T8SJI96Q9J, 5780880]
[ordered-list, [182.0, 929.0, 684.0, 36.0], shoonya_12s9T8SJI96Q9J, 5780880]
[ordered-list, [182.0, 965.0, 684.0, 36.0], shoonya_12s9T8SJI96Q9J, 5780880]
[reference, [148.0, 1043.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1079.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1115.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1151.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1187.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1223.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1259.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1295.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1331.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1367.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1403.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1439.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1475.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
[reference, [148.0, 1511.0, 1016.0, 36.0], SKhzp23A5D, 5780880]
