[1103, 748]
[subsub-section-title, [224.0, 164.0, 253.0, 15.0], shoonya_5sLRCPV786COEJ, 5781061]
[subsub-section-title, [224.0, 179.0, 253.0, 15.0], shoonya_5sLRCPV786COEJ, 5781061]
[paragraph, [66.0, 210.0, 561.0, 18.0], shoonya_2sKQ0ERYQPCF5P, 5781061]
[paragraph, [66.0, 228.0, 561.0, 18.0], shoonya_2sKQ0ERYQPCF5P, 5781061]
[paragraph, [66.0, 246.0, 561.0, 18.0], shoonya_2sKQ0ERYQPCF5P, 5781061]
[paragraph, [66.0, 264.0, 561.0, 18.0], shoonya_2sKQ0ERYQPCF5P, 5781061]
[paragraph, [66.0, 282.0, 561.0, 18.0], shoonya_2sKQ0ERYQPCF5P, 5781061]
[paragraph, [69.0, 321.0, 557.0, 18.0], LJoZf-box0, 5781061]
[paragraph, [69.0, 339.0, 557.0, 18.0], LJoZf-box0, 5781061]
[paragraph, [69.0, 357.0, 557.0, 18.0], LJoZf-box0, 5781061]
[paragraph, [69.0, 375.0, 557.0, 18.0], LJoZf-box0, 5781061]
[paragraph, [69.0, 393.0, 557.0, 18.0], LJoZf-box0, 5781061]
[paragraph, [68.0, 429.0, 559.0, 18.0], v3uAqJD8SH, 5781061]
[paragraph, [68.0, 447.0, 559.0, 18.0], v3uAqJD8SH, 5781061]
[paragraph, [68.0, 465.0, 559.0, 18.0], v3uAqJD8SH, 5781061]
[paragraph, [68.0, 483.0, 559.0, 18.0], v3uAqJD8SH, 5781061]
[paragraph, [68.0, 501.0, 559.0, 18.0], v3uAqJD8SH, 5781061]
[paragraph, [68.0, 519.0, 559.0, 18.0], v3uAqJD8SH, 5781061]
[paragraph, [71.0, 542.0, 556.0, 18.0], shoonya_6sP4U9CDY3XEZ5, 5781061]
[paragraph, [71.0, 560.0, 556.0, 18.0], shoonya_6sP4U9CDY3XEZ5, 5781061]
[paragraph, [71.0, 578.0, 556.0, 18.0], shoonya_6sP4U9CDY3XEZ5, 5781061]
[paragraph, [71.0, 596.0, 556.0, 18.0], shoonya_6sP4U9CDY3XEZ5, 5781061]
[subsub-section-title, [192.0, 632.0, 316.0, 15.0], shoonya_3s4C5ZWHEYBT5U, 5781061]
[subsub-section-title, [192.0, 647.0, 316.0, 15.0], shoonya_3s4C5ZWHEYBT5U, 5781061]
[paragraph, [65.0, 680.0, 563.0, 18.0], shoonya_0sZSHKTWGMUGOX, 5781061]
[paragraph, [65.0, 698.0, 563.0, 18.0], shoonya_0sZSHKTWGMUGOX, 5781061]
[paragraph, [65.0, 716.0, 563.0, 18.0], shoonya_0sZSHKTWGMUGOX, 5781061]
[paragraph, [65.0, 734.0, 563.0, 18.0], shoonya_0sZSHKTWGMUGOX, 5781061]
[paragraph, [65.0, 752.0, 563.0, 18.0], shoonya_0sZSHKTWGMUGOX, 5781061]
[paragraph, [65.0, 770.0, 563.0, 18.0], shoonya_0sZSHKTWGMUGOX, 5781061]
[paragraph, [65.0, 788.0, 563.0, 18.0], shoonya_0sZSHKTWGMUGOX, 5781061]
[paragraph, [65.0, 806.0, 563.0, 18.0], shoonya_0sZSHKTWGMUGOX, 5781061]
[folio, [63.0, 923.0, 565.0, 18.0], shoonya_4sYFRJP7SSCVRO, 5781061]
[folio, [63.0, 941.0, 565.0, 18.0], shoonya_4sYFRJP7SSCVRO, 5781061]
[quote, [370.0, 933.0, 254.0, 18.0], O858jlEUX3, 5781061]
