[1754, 1241]
[reference, [215.0, 188.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 224.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 260.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 296.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 332.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 368.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 404.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 440.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 476.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 512.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 548.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 584.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 620.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 656.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 692.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 728.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 764.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 800.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 836.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 872.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 908.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 944.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 980.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 1016.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 1052.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 1088.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 1124.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 1160.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 1196.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 1232.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 1268.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 1304.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[reference, [215.0, 1340.0, 854.0, 36.0], shoonya_0sEMP1MNXGZWC5, 5728396]
[paragraph, [226.0, 1476.0, 836.0, 36.0], v95gjeVfFv, 5728396]
