[2200, 1700]
[contact-info, [467.0, 170.0, 798.0, 36.0], shoonya_3sVK9ULWB5QR13, 5738004]
[folio, [673.0, 314.0, 382.0, 36.0], B7bETM9-2x, 5738004]
[headline, [637.0, 365.0, 459.0, 67.5], jMovMk5EIF, 5738004]
[folio, [565.0, 491.0, 616.0, 36.0], RHIgSx7Zdp, 5738004]
[section-title, [191.0, 612.0, 529.0, 52.5], jYl-fzh6NL, 5738004]
[ordered-list, [417.0, 679.0, 972.0, 36.0], shoonya_1sJLOSOTLPNT5U, 5738004]
[ordered-list, [417.0, 715.0, 972.0, 36.0], shoonya_1sJLOSOTLPNT5U, 5738004]
[ordered-list, [417.0, 751.0, 972.0, 36.0], shoonya_1sJLOSOTLPNT5U, 5738004]
[ordered-list, [417.0, 787.0, 972.0, 36.0], shoonya_1sJLOSOTLPNT5U, 5738004]
[ordered-list, [417.0, 823.0, 972.0, 36.0], shoonya_1sJLOSOTLPNT5U, 5738004]
[ordered-list, [417.0, 859.0, 972.0, 36.0], shoonya_1sJLOSOTLPNT5U, 5738004]
[ordered-list, [401.0, 937.0, 1058.0, 36.0], wxVLYyiMXr, 5738004]
[ordered-list, [401.0, 973.0, 1058.0, 36.0], wxVLYyiMXr, 5738004]
[ordered-list, [401.0, 1009.0, 1058.0, 36.0], wxVLYyiMXr, 5738004]
[ordered-list, [401.0, 1045.0, 1058.0, 36.0], wxVLYyiMXr, 5738004]
[ordered-list, [401.0, 1081.0, 1058.0, 36.0], wxVLYyiMXr, 5738004]
[ordered-list, [401.0, 1117.0, 1058.0, 36.0], wxVLYyiMXr, 5738004]
[ordered-list, [401.0, 1153.0, 1058.0, 36.0], wxVLYyiMXr, 5738004]
[reference, [426.0, 1242.0, 565.0, 36.0], D8YQ1qVHYg, 5738004]
[reference, [426.0, 1278.0, 565.0, 36.0], D8YQ1qVHYg, 5738004]
