[1754, 1241]
[paragraph, [144.0, 158.0, 948.0, 36.0], shoonya_1s48Z0YVXBQZL1, 5747096]
[paragraph, [144.0, 194.0, 948.0, 36.0], shoonya_1s48Z0YVXBQZL1, 5747096]
[paragraph, [144.0, 230.0, 948.0, 36.0], shoonya_1s48Z0YVXBQZL1, 5747096]
[paragraph, [144.0, 266.0, 948.0, 36.0], shoonya_1s48Z0YVXBQZL1, 5747096]
[ordered-list, [153.0, 338.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 374.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 410.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 446.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 482.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 518.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 554.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 590.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 626.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 662.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 698.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 734.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 770.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 806.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 842.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 878.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 914.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 950.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 986.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 1022.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 1058.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 1094.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 1130.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 1166.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 1202.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 1238.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 1274.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 1310.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 1346.0, 956.0, 36.0], aNoynoEe_D, 5747096]
[ordered-list, [153.0, 1382.0, 956.0, 36.0], aNoynoEe_D, 5747096]
