[1754, 1241]
[folio, [899.0, 114.0, 195.0, 36.0], iliLjea6JV, 5747347]
[section-title, [142.0, 172.0, 504.0, 49.5], dhteczykLh, 5747347]
[sub-section-title, [143.0, 257.0, 143.0, 36.0], shoonya_1sGCGV6SYUQGWK, 5747347]
[ordered-list, [132.0, 316.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 352.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 388.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 424.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 460.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 496.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 532.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 568.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 604.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 640.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 676.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 712.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 748.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 784.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 820.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 856.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 892.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 928.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 964.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 1000.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 1036.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 1072.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 1108.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 1144.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 1180.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 1216.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 1252.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 1288.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 1324.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
[ordered-list, [132.0, 1360.0, 732.0, 36.0], shoonya_0sZY4T1ZCOQBBH, 5747347]
