[792, 612]
[paragraph, [70.0, 68.0, 339.0, 18.0], shoonya_0sTVC3Q9PNR94T, 5747314]
[paragraph, [67.0, 97.0, 443.0, 18.0], m-6gAIwSfQ, 5747314]
[paragraph, [67.0, 115.0, 443.0, 18.0], m-6gAIwSfQ, 5747314]
[paragraph, [69.0, 171.0, 476.0, 18.0], dekjcRsRou, 5747314]
[paragraph, [68.0, 209.0, 477.0, 18.0], 4w5AuQyMd1, 5747314]
[paragraph, [68.0, 227.0, 477.0, 18.0], 4w5AuQyMd1, 5747314]
[paragraph, [62.0, 285.0, 483.0, 18.0], 9mQ_Pc2LJc, 5747314]
[paragraph, [62.0, 303.0, 483.0, 18.0], 9mQ_Pc2LJc, 5747314]
[paragraph, [64.0, 345.0, 441.0, 18.0], 0ZY927rBM-, 5747314]
[paragraph, [66.0, 430.0, 482.0, 18.0], 8oN41r_eh_, 5747314]
[paragraph, [65.0, 474.0, 447.0, 18.0], L_1gsO5J-v, 5747314]
[paragraph, [66.0, 502.0, 479.0, 18.0], SOOenxDXQC, 5747314]
[paragraph, [65.0, 545.0, 483.0, 18.0], Kn1PF0mC73, 5747314]
[paragraph, [65.0, 586.0, 483.0, 18.0], IpOB4OlR-B, 5747314]
[paragraph, [66.0, 626.0, 477.0, 18.0], ohZNKoYPnO, 5747314]
[paragraph, [66.0, 671.0, 469.0, 18.0], DA-qDqOsFj, 5747314]
[paragraph, [68.0, 702.0, 431.0, 18.0], e5M88gPuBa, 5747314]
