[2337, 1653]
[folio, [453.0, 116.0, 740.0, 36.0], pL-XDuyB3a, 5756922]
[folio, [453.0, 152.0, 740.0, 36.0], pL-XDuyB3a, 5756922]
[folio, [453.0, 188.0, 740.0, 36.0], pL-XDuyB3a, 5756922]
[sidebar, [75.0, 274.0, 629.0, 36.0], so9dsjBU_k, 5756922]
[sidebar, [1156.0, 324.0, 293.0, 36.0], qxIkC0twSf, 5756922]
[sidebar, [63.0, 332.0, 189.0, 36.0], shoonya_0sUEIGQN26C2Q9, 5756922]
[sidebar, [945.0, 382.0, 523.0, 36.0], WZ88JOUZFL, 5756922]
[sidebar, [66.0, 387.0, 275.0, 36.0], fkMraFK6tB, 5756922]
[sidebar, [63.0, 441.0, 265.0, 36.0], KrCw0_-MVO, 5756922]
[sidebar, [935.0, 441.0, 501.0, 36.0], RQBtifpaVG, 5756922]
[sidebar, [54.0, 488.0, 348.0, 36.0], w5nCJpeLyK, 5756922]
[ordered-list, [53.0, 595.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 631.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 667.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 703.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 739.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 775.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 811.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 847.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 883.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 919.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 955.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 991.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 1027.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 1063.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 1099.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 1135.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 1171.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 1207.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 1243.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 1279.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 1315.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [53.0, 1351.0, 1530.0, 36.0], ZO0nA4sns5, 5756922]
[ordered-list, [113.0, 1461.0, 1475.0, 36.0], tNUEuXCBxv, 5756922]
[ordered-list, [113.0, 1497.0, 1475.0, 36.0], tNUEuXCBxv, 5756922]
[ordered-list, [113.0, 1533.0, 1475.0, 36.0], tNUEuXCBxv, 5756922]
[ordered-list, [113.0, 1569.0, 1475.0, 36.0], tNUEuXCBxv, 5756922]
[ordered-list, [113.0, 1605.0, 1475.0, 36.0], tNUEuXCBxv, 5756922]
[ordered-list, [113.0, 1641.0, 1475.0, 36.0], tNUEuXCBxv, 5756922]
[ordered-list, [113.0, 1677.0, 1475.0, 36.0], tNUEuXCBxv, 5756922]
[folio, [573.0, 2030.0, 484.0, 36.0], OMo69j8b0q, 5756922]
