[2359, 1662]
[folio, [417.0, 109.0, 709.0, 36.0], shoonya_0sKNJV2DOD06Z9, 5756863]
[folio, [353.0, 172.0, 849.0, 36.0], _yjkryxRwg, 5756863]
[folio, [653.0, 232.0, 241.0, 36.0], ySjT4ePtDm, 5756863]
[sidebar, [208.0, 276.0, 232.0, 36.0], jmVbprnTxC, 5756863]
[ordered-list, [10.0, 318.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 354.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 390.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 426.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 462.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 498.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 534.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 570.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 606.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 642.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 678.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 714.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 750.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 786.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 822.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 858.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 894.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 930.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 966.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1002.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1038.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1074.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1110.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1146.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1182.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1218.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1254.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1290.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1326.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1362.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1398.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1434.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1470.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1506.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1542.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1578.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1614.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1650.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1686.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1722.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1758.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1794.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1830.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1866.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1902.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1938.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 1974.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
[ordered-list, [10.0, 2010.0, 1547.0, 36.0], UjlNp6pab7, 5756863]
