[792, 612]
[paragraph, [51.0, 36.0, 335.0, 18.0], shoonya_0s3L5R70IY3IYY, 6461209]
[paragraph, [51.0, 54.0, 335.0, 18.0], shoonya_0s3L5R70IY3IYY, 6461209]
[paragraph, [49.0, 97.0, 369.0, 18.0], bmsELeV_IN, 6461209]
[paragraph, [49.0, 115.0, 369.0, 18.0], bmsELeV_IN, 6461209]
[paragraph, [49.0, 133.0, 369.0, 18.0], bmsELeV_IN, 6461209]
[ordered-list, [50.0, 159.0, 367.0, 18.0], rDiIiJdzFx, 6461209]
[ordered-list, [50.0, 177.0, 367.0, 18.0], rDiIiJdzFx, 6461209]
[ordered-list, [50.0, 195.0, 367.0, 18.0], rDiIiJdzFx, 6461209]
[ordered-list, [50.0, 213.0, 367.0, 18.0], rDiIiJdzFx, 6461209]
[ordered-list, [50.0, 231.0, 367.0, 18.0], rDiIiJdzFx, 6461209]
[paragraph, [48.0, 279.0, 373.0, 18.0], dEYZiRPyhF, 6461209]
[paragraph, [48.0, 297.0, 373.0, 18.0], dEYZiRPyhF, 6461209]
[paragraph, [49.0, 319.0, 370.0, 18.0], 3nRkm5FDvP, 6461209]
[paragraph, [49.0, 337.0, 370.0, 18.0], 3nRkm5FDvP, 6461209]
[paragraph, [49.0, 355.0, 370.0, 18.0], 3nRkm5FDvP, 6461209]
[paragraph, [49.0, 401.0, 357.0, 18.0], R_46hyagtj, 6461209]
[paragraph, [49.0, 419.0, 357.0, 18.0], R_46hyagtj, 6461209]
[paragraph, [50.0, 462.0, 296.0, 18.0], M-eMMKk7Nk, 6461209]
[paragraph, [50.0, 480.0, 296.0, 18.0], M-eMMKk7Nk, 6461209]
[paragraph, [48.0, 502.0, 367.0, 18.0], BJq7e2qfc4, 6461209]
[paragraph, [48.0, 520.0, 367.0, 18.0], BJq7e2qfc4, 6461209]
[paragraph, [48.0, 579.0, 371.0, 18.0], T1rpbz6Pvi, 6461209]
[paragraph, [48.0, 597.0, 371.0, 18.0], T1rpbz6Pvi, 6461209]
[paragraph, [48.0, 615.0, 371.0, 18.0], T1rpbz6Pvi, 6461209]
[folio, [48.0, 714.0, 151.0, 18.0], T5y7yRCCrk, 6461209]
