[1638, 1048]
[folio, [152.0, 99.0, 85.0, 36.0], shoonya_0s30TOF33KDLYT, 5681293]
[paragraph, [101.0, 157.0, 842.0, 36.0], shoonya_3s5CWYPFWU5K7G, 5681293]
[paragraph, [101.0, 193.0, 842.0, 36.0], shoonya_3s5CWYPFWU5K7G, 5681293]
[paragraph, [101.0, 229.0, 842.0, 36.0], shoonya_3s5CWYPFWU5K7G, 5681293]
[paragraph, [101.0, 265.0, 842.0, 36.0], shoonya_3s5CWYPFWU5K7G, 5681293]
[paragraph, [101.0, 301.0, 842.0, 36.0], shoonya_3s5CWYPFWU5K7G, 5681293]
[paragraph, [101.0, 337.0, 842.0, 36.0], shoonya_3s5CWYPFWU5K7G, 5681293]
[paragraph, [101.0, 373.0, 842.0, 36.0], shoonya_3s5CWYPFWU5K7G, 5681293]
[paragraph, [101.0, 409.0, 842.0, 36.0], shoonya_3s5CWYPFWU5K7G, 5681293]
[paragraph, [101.0, 445.0, 842.0, 36.0], shoonya_3s5CWYPFWU5K7G, 5681293]
[paragraph, [101.0, 481.0, 842.0, 36.0], shoonya_3s5CWYPFWU5K7G, 5681293]
[paragraph, [101.0, 517.0, 842.0, 36.0], shoonya_3s5CWYPFWU5K7G, 5681293]
[paragraph, [101.0, 553.0, 842.0, 36.0], shoonya_3s5CWYPFWU5K7G, 5681293]
[paragraph, [102.0, 624.0, 845.0, 36.0], shoonya_4sOT8DJVCVPY9S, 5681293]
[paragraph, [102.0, 660.0, 845.0, 36.0], shoonya_4sOT8DJVCVPY9S, 5681293]
[paragraph, [102.0, 696.0, 845.0, 36.0], shoonya_4sOT8DJVCVPY9S, 5681293]
[paragraph, [102.0, 732.0, 845.0, 36.0], shoonya_4sOT8DJVCVPY9S, 5681293]
[paragraph, [102.0, 768.0, 845.0, 36.0], shoonya_4sOT8DJVCVPY9S, 5681293]
[paragraph, [102.0, 804.0, 845.0, 36.0], shoonya_4sOT8DJVCVPY9S, 5681293]
[paragraph, [102.0, 840.0, 845.0, 36.0], shoonya_4sOT8DJVCVPY9S, 5681293]
[paragraph, [102.0, 876.0, 845.0, 36.0], shoonya_4sOT8DJVCVPY9S, 5681293]
[paragraph, [102.0, 912.0, 845.0, 36.0], shoonya_4sOT8DJVCVPY9S, 5681293]
[paragraph, [96.0, 956.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 992.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1028.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1064.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1100.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1136.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1172.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1208.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1244.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1280.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1316.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1352.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1388.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1424.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1460.0, 851.0, 36.0], IVUqVApVkE, 5681293]
[paragraph, [96.0, 1496.0, 851.0, 36.0], IVUqVApVkE, 5681293]
