[554, 326]
[paragraph, [12.0, 44.0, 283.0, 18.0], shoonya_0sDKR7BVWTNSJ8, 5680849]
[paragraph, [12.0, 62.0, 283.0, 18.0], shoonya_0sDKR7BVWTNSJ8, 5680849]
[paragraph, [12.0, 80.0, 283.0, 18.0], shoonya_0sDKR7BVWTNSJ8, 5680849]
[paragraph, [14.0, 113.0, 282.0, 18.0], Lm4rYoJt5M, 5680849]
[paragraph, [14.0, 131.0, 282.0, 18.0], Lm4rYoJt5M, 5680849]
[paragraph, [14.0, 149.0, 282.0, 18.0], Lm4rYoJt5M, 5680849]
[paragraph, [14.0, 167.0, 282.0, 18.0], Lm4rYoJt5M, 5680849]
[paragraph, [14.0, 185.0, 282.0, 18.0], Lm4rYoJt5M, 5680849]
[paragraph, [13.0, 220.0, 282.0, 18.0], RlPfpEAPes, 5680849]
[paragraph, [13.0, 238.0, 282.0, 18.0], RlPfpEAPes, 5680849]
[paragraph, [13.0, 256.0, 282.0, 18.0], RlPfpEAPes, 5680849]
[paragraph, [13.0, 274.0, 282.0, 18.0], RlPfpEAPes, 5680849]
[paragraph, [13.0, 292.0, 282.0, 18.0], RlPfpEAPes, 5680849]
[paragraph, [13.0, 310.0, 282.0, 18.0], RlPfpEAPes, 5680849]
[paragraph, [13.0, 328.0, 282.0, 18.0], RlPfpEAPes, 5680849]
[paragraph, [13.0, 346.0, 282.0, 18.0], RlPfpEAPes, 5680849]
[paragraph, [13.0, 410.0, 283.0, 18.0], shoonya_1sPIPYK4ZYEQOU, 5680849]
[paragraph, [13.0, 428.0, 283.0, 18.0], shoonya_1sPIPYK4ZYEQOU, 5680849]
[paragraph, [13.0, 446.0, 283.0, 18.0], shoonya_1sPIPYK4ZYEQOU, 5680849]
[paragraph, [13.0, 464.0, 283.0, 18.0], shoonya_1sPIPYK4ZYEQOU, 5680849]
[paragraph, [13.0, 482.0, 283.0, 18.0], shoonya_1sPIPYK4ZYEQOU, 5680849]
[paragraph, [13.0, 500.0, 283.0, 18.0], shoonya_1sPIPYK4ZYEQOU, 5680849]
