[596, 480]
[paragraph, [122.0, 52.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 70.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 88.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 106.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 124.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 142.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 160.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 178.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 196.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 214.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 232.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 250.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 268.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 286.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 304.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 322.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 340.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 358.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 376.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 394.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 412.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [122.0, 430.0, 260.0, 18.0], shoonya_0sP2W8QJ44812D, 6494838]
[paragraph, [94.0, 469.0, 317.0, 18.0], TFCo6yH0Di, 6494838]
[paragraph, [94.0, 487.0, 317.0, 18.0], TFCo6yH0Di, 6494838]
[paragraph, [94.0, 505.0, 317.0, 18.0], TFCo6yH0Di, 6494838]
[paragraph, [94.0, 523.0, 317.0, 18.0], TFCo6yH0Di, 6494838]
