[596, 480]
[section-title, [78.0, 48.0, 315.0, 30.0], Ffy1h-CnsG, 6494304]
[paragraph, [71.0, 98.0, 330.0, 18.0], M7GQqXlJ8-, 6494304]
[paragraph, [71.0, 116.0, 330.0, 18.0], M7GQqXlJ8-, 6494304]
[paragraph, [71.0, 134.0, 330.0, 18.0], M7GQqXlJ8-, 6494304]
[paragraph, [76.0, 175.0, 319.0, 18.0], WytqOj7Cud, 6494304]
[paragraph, [76.0, 193.0, 319.0, 18.0], WytqOj7Cud, 6494304]
[paragraph, [76.0, 211.0, 319.0, 18.0], WytqOj7Cud, 6494304]
[paragraph, [76.0, 229.0, 319.0, 18.0], WytqOj7Cud, 6494304]
[paragraph, [76.0, 247.0, 319.0, 18.0], WytqOj7Cud, 6494304]
[paragraph, [76.0, 265.0, 319.0, 18.0], WytqOj7Cud, 6494304]
[paragraph, [76.0, 283.0, 319.0, 18.0], WytqOj7Cud, 6494304]
[paragraph, [76.0, 301.0, 319.0, 18.0], WytqOj7Cud, 6494304]
[paragraph, [76.0, 319.0, 319.0, 18.0], WytqOj7Cud, 6494304]
[paragraph, [76.0, 337.0, 319.0, 18.0], WytqOj7Cud, 6494304]
[paragraph, [75.0, 369.0, 321.0, 18.0], FB5Rwl_qi4, 6494304]
[paragraph, [75.0, 387.0, 321.0, 18.0], FB5Rwl_qi4, 6494304]
[paragraph, [75.0, 405.0, 321.0, 18.0], FB5Rwl_qi4, 6494304]
[paragraph, [75.0, 423.0, 321.0, 18.0], FB5Rwl_qi4, 6494304]
[paragraph, [75.0, 441.0, 321.0, 18.0], FB5Rwl_qi4, 6494304]
[paragraph, [75.0, 459.0, 321.0, 18.0], FB5Rwl_qi4, 6494304]
[paragraph, [75.0, 477.0, 321.0, 18.0], FB5Rwl_qi4, 6494304]
[paragraph, [75.0, 495.0, 321.0, 18.0], FB5Rwl_qi4, 6494304]
