[792, 612]
[folio, [239.0, 45.0, 136.0, 18.0], OZ0TeKwWlE, 6493319]
[paragraph, [175.0, 90.0, 274.0, 18.0], 9Yt2ZJNKUP, 6493319]
[paragraph, [175.0, 108.0, 274.0, 18.0], 9Yt2ZJNKUP, 6493319]
[paragraph, [168.0, 144.0, 283.0, 18.0], fU_btaU0pq, 6493319]
[paragraph, [168.0, 162.0, 283.0, 18.0], fU_btaU0pq, 6493319]
[paragraph, [168.0, 180.0, 283.0, 18.0], fU_btaU0pq, 6493319]
[paragraph, [168.0, 198.0, 283.0, 18.0], fU_btaU0pq, 6493319]
[paragraph, [168.0, 216.0, 283.0, 18.0], fU_btaU0pq, 6493319]
[paragraph, [168.0, 234.0, 283.0, 18.0], fU_btaU0pq, 6493319]
[paragraph, [168.0, 252.0, 283.0, 18.0], fU_btaU0pq, 6493319]
[paragraph, [168.0, 270.0, 283.0, 18.0], fU_btaU0pq, 6493319]
[paragraph, [168.0, 288.0, 283.0, 18.0], fU_btaU0pq, 6493319]
[paragraph, [176.0, 324.0, 265.0, 18.0], t8TKInXzrc, 6493319]
[paragraph, [176.0, 342.0, 265.0, 18.0], t8TKInXzrc, 6493319]
[paragraph, [182.0, 380.0, 199.0, 18.0], LzshW9tS7Q, 6493319]
[paragraph, [182.0, 398.0, 199.0, 18.0], LzshW9tS7Q, 6493319]
[paragraph, [182.0, 416.0, 199.0, 18.0], LzshW9tS7Q, 6493319]
