[792, 612]
[folio, [250.0, 44.0, 130.0, 18.0], ll1f_ekdz0, 6496489]
[paragraph, [197.0, 78.0, 204.0, 18.0], hoW2QJ-ijx, 6496489]
[paragraph, [197.0, 96.0, 204.0, 18.0], hoW2QJ-ijx, 6496489]
[paragraph, [197.0, 114.0, 204.0, 18.0], hoW2QJ-ijx, 6496489]
[paragraph, [197.0, 132.0, 204.0, 18.0], hoW2QJ-ijx, 6496489]
[paragraph, [197.0, 150.0, 204.0, 18.0], hoW2QJ-ijx, 6496489]
[paragraph, [197.0, 168.0, 204.0, 18.0], hoW2QJ-ijx, 6496489]
[paragraph, [208.0, 202.0, 248.0, 18.0], Wx7pIX9hwQ, 6496489]
[paragraph, [208.0, 220.0, 248.0, 18.0], Wx7pIX9hwQ, 6496489]
[paragraph, [208.0, 238.0, 248.0, 18.0], Wx7pIX9hwQ, 6496489]
[paragraph, [208.0, 256.0, 248.0, 18.0], Wx7pIX9hwQ, 6496489]
[paragraph, [208.0, 274.0, 248.0, 18.0], Wx7pIX9hwQ, 6496489]
[paragraph, [208.0, 292.0, 248.0, 18.0], Wx7pIX9hwQ, 6496489]
