[668, 446]
[paragraph, [62.0, 85.0, 344.0, 18.0], 7Au4HnvDOA, 6494271]
[paragraph, [62.0, 103.0, 344.0, 18.0], 7Au4HnvDOA, 6494271]
[paragraph, [62.0, 121.0, 344.0, 18.0], 7Au4HnvDOA, 6494271]
[paragraph, [62.0, 139.0, 344.0, 18.0], 7Au4HnvDOA, 6494271]
[paragraph, [62.0, 157.0, 344.0, 18.0], 7Au4HnvDOA, 6494271]
[paragraph, [62.0, 175.0, 344.0, 18.0], 7Au4HnvDOA, 6494271]
[paragraph, [62.0, 193.0, 344.0, 18.0], 7Au4HnvDOA, 6494271]
[paragraph, [62.0, 211.0, 344.0, 18.0], 7Au4HnvDOA, 6494271]
[paragraph, [62.0, 229.0, 344.0, 18.0], 7Au4HnvDOA, 6494271]
[paragraph, [62.0, 247.0, 344.0, 18.0], 7Au4HnvDOA, 6494271]
[paragraph, [65.0, 281.0, 341.0, 18.0], shoonya_0s797KXPF3CVX2, 6494271]
[paragraph, [65.0, 299.0, 341.0, 18.0], shoonya_0s797KXPF3CVX2, 6494271]
[paragraph, [65.0, 317.0, 341.0, 18.0], shoonya_0s797KXPF3CVX2, 6494271]
[paragraph, [65.0, 335.0, 341.0, 18.0], shoonya_0s797KXPF3CVX2, 6494271]
[paragraph, [65.0, 353.0, 341.0, 18.0], shoonya_0s797KXPF3CVX2, 6494271]
[paragraph, [65.0, 371.0, 341.0, 18.0], shoonya_0s797KXPF3CVX2, 6494271]
[paragraph, [65.0, 389.0, 341.0, 18.0], shoonya_0s797KXPF3CVX2, 6494271]
[paragraph, [61.0, 416.0, 345.0, 18.0], SktPQuHfNO, 6494271]
[paragraph, [61.0, 434.0, 345.0, 18.0], SktPQuHfNO, 6494271]
[paragraph, [61.0, 452.0, 345.0, 18.0], SktPQuHfNO, 6494271]
[paragraph, [61.0, 470.0, 345.0, 18.0], SktPQuHfNO, 6494271]
[paragraph, [61.0, 488.0, 345.0, 18.0], SktPQuHfNO, 6494271]
[paragraph, [61.0, 506.0, 345.0, 18.0], SktPQuHfNO, 6494271]
[paragraph, [61.0, 524.0, 345.0, 18.0], SktPQuHfNO, 6494271]
[paragraph, [61.0, 542.0, 345.0, 18.0], SktPQuHfNO, 6494271]
[paragraph, [61.0, 560.0, 345.0, 18.0], SktPQuHfNO, 6494271]
[paragraph, [61.0, 578.0, 345.0, 18.0], SktPQuHfNO, 6494271]
