[668, 446]
[paragraph, [59.0, 80.0, 350.0, 18.0], 51rniAfubi, 6495570]
[paragraph, [59.0, 98.0, 350.0, 18.0], 51rniAfubi, 6495570]
[paragraph, [59.0, 116.0, 350.0, 18.0], 51rniAfubi, 6495570]
[paragraph, [48.0, 139.0, 361.0, 18.0], aBmkYArKb9, 6495570]
[paragraph, [48.0, 157.0, 361.0, 18.0], aBmkYArKb9, 6495570]
[paragraph, [48.0, 175.0, 361.0, 18.0], aBmkYArKb9, 6495570]
[paragraph, [48.0, 193.0, 361.0, 18.0], aBmkYArKb9, 6495570]
[paragraph, [48.0, 211.0, 361.0, 18.0], aBmkYArKb9, 6495570]
[paragraph, [48.0, 229.0, 361.0, 18.0], aBmkYArKb9, 6495570]
[paragraph, [48.0, 247.0, 361.0, 18.0], aBmkYArKb9, 6495570]
[paragraph, [48.0, 265.0, 361.0, 18.0], aBmkYArKb9, 6495570]
[paragraph, [48.0, 283.0, 361.0, 18.0], aBmkYArKb9, 6495570]
[paragraph, [48.0, 301.0, 361.0, 18.0], aBmkYArKb9, 6495570]
[paragraph, [59.0, 324.0, 345.0, 18.0], ba8Ne50SUs, 6495570]
[paragraph, [59.0, 342.0, 345.0, 18.0], ba8Ne50SUs, 6495570]
[paragraph, [59.0, 360.0, 345.0, 18.0], ba8Ne50SUs, 6495570]
[paragraph, [59.0, 378.0, 345.0, 18.0], ba8Ne50SUs, 6495570]
[paragraph, [59.0, 396.0, 345.0, 18.0], ba8Ne50SUs, 6495570]
[paragraph, [59.0, 414.0, 345.0, 18.0], ba8Ne50SUs, 6495570]
[paragraph, [56.0, 449.0, 350.0, 18.0], M5_xToRMxi, 6495570]
[paragraph, [56.0, 467.0, 350.0, 18.0], M5_xToRMxi, 6495570]
[paragraph, [56.0, 485.0, 350.0, 18.0], M5_xToRMxi, 6495570]
[paragraph, [56.0, 503.0, 350.0, 18.0], M5_xToRMxi, 6495570]
[paragraph, [56.0, 521.0, 350.0, 18.0], M5_xToRMxi, 6495570]
[paragraph, [56.0, 539.0, 350.0, 18.0], M5_xToRMxi, 6495570]
[paragraph, [56.0, 557.0, 350.0, 18.0], M5_xToRMxi, 6495570]
[paragraph, [56.0, 575.0, 350.0, 18.0], M5_xToRMxi, 6495570]
