[668, 446]
[paragraph, [54.0, 77.0, 344.0, 18.0], 5fwZqTorpw, 6493881]
[paragraph, [54.0, 95.0, 344.0, 18.0], 5fwZqTorpw, 6493881]
[paragraph, [54.0, 113.0, 344.0, 18.0], 5fwZqTorpw, 6493881]
[paragraph, [54.0, 131.0, 344.0, 18.0], 5fwZqTorpw, 6493881]
[paragraph, [54.0, 149.0, 344.0, 18.0], 5fwZqTorpw, 6493881]
[paragraph, [54.0, 167.0, 344.0, 18.0], 5fwZqTorpw, 6493881]
[paragraph, [54.0, 185.0, 344.0, 18.0], 5fwZqTorpw, 6493881]
[paragraph, [52.0, 218.0, 346.0, 18.0], VUUM3QOdlt, 6493881]
[paragraph, [52.0, 236.0, 346.0, 18.0], VUUM3QOdlt, 6493881]
[paragraph, [52.0, 254.0, 346.0, 18.0], VUUM3QOdlt, 6493881]
[paragraph, [52.0, 272.0, 346.0, 18.0], VUUM3QOdlt, 6493881]
[paragraph, [52.0, 290.0, 346.0, 18.0], VUUM3QOdlt, 6493881]
[paragraph, [53.0, 320.0, 350.0, 18.0], Tkkcel6xfu, 6493881]
[paragraph, [53.0, 338.0, 350.0, 18.0], Tkkcel6xfu, 6493881]
[paragraph, [53.0, 356.0, 350.0, 18.0], Tkkcel6xfu, 6493881]
[paragraph, [53.0, 374.0, 350.0, 18.0], Tkkcel6xfu, 6493881]
[paragraph, [53.0, 392.0, 350.0, 18.0], Tkkcel6xfu, 6493881]
[paragraph, [53.0, 410.0, 350.0, 18.0], Tkkcel6xfu, 6493881]
[paragraph, [58.0, 433.0, 341.0, 18.0], o4njMHbTDx, 6493881]
[paragraph, [58.0, 451.0, 341.0, 18.0], o4njMHbTDx, 6493881]
[paragraph, [58.0, 469.0, 341.0, 18.0], o4njMHbTDx, 6493881]
[paragraph, [58.0, 487.0, 341.0, 18.0], o4njMHbTDx, 6493881]
[paragraph, [58.0, 505.0, 341.0, 18.0], o4njMHbTDx, 6493881]
[paragraph, [58.0, 523.0, 341.0, 18.0], o4njMHbTDx, 6493881]
[paragraph, [58.0, 541.0, 341.0, 18.0], o4njMHbTDx, 6493881]
[paragraph, [58.0, 559.0, 341.0, 18.0], o4njMHbTDx, 6493881]
[paragraph, [58.0, 577.0, 341.0, 18.0], o4njMHbTDx, 6493881]
