[679, 512]
[contact-info, [342.0, 37.0, 107.0, 18.0], MKgqYYTQOT, 6493827]
[contact-info, [342.0, 55.0, 107.0, 18.0], MKgqYYTQOT, 6493827]
[contact-info, [342.0, 73.0, 107.0, 18.0], MKgqYYTQOT, 6493827]
[contact-info, [342.0, 91.0, 107.0, 18.0], MKgqYYTQOT, 6493827]
[contact-info, [49.0, 38.0, 111.0, 18.0], p0qKdbIEp0, 6493827]
[contact-info, [49.0, 56.0, 111.0, 18.0], p0qKdbIEp0, 6493827]
[contact-info, [49.0, 74.0, 111.0, 18.0], p0qKdbIEp0, 6493827]
[contact-info, [49.0, 92.0, 111.0, 18.0], p0qKdbIEp0, 6493827]
[headline, [166.0, 61.0, 176.0, 25.5], SpasmuF9cS, 6493827]
[paragraph, [62.0, 209.0, 384.0, 18.0], y_3Z68EADI, 6493827]
[paragraph, [62.0, 227.0, 384.0, 18.0], y_3Z68EADI, 6493827]
[paragraph, [53.0, 263.0, 60.0, 18.0], s103w8cGF5, 6493827]
[paragraph, [53.0, 285.0, 390.0, 18.0], shoonya_0sSUQBEOZARLP2, 6493827]
[paragraph, [53.0, 303.0, 390.0, 18.0], shoonya_0sSUQBEOZARLP2, 6493827]
[paragraph, [53.0, 321.0, 390.0, 18.0], shoonya_0sSUQBEOZARLP2, 6493827]
[contact-info, [309.0, 458.0, 122.0, 18.0], BkT3lxJW3C, 6493827]
[footnote, [60.0, 525.0, 339.0, 18.0], MZVuf_nNsM, 6493827]
[folio, [152.0, 606.0, 170.0, 18.0], mIPHx1yW9e, 6493827]
