[1200, 825]
[figure-caption, [156.0, 495.0, 511.0, 18.0], UpRB1mbj4S, 5691283]
[figure-caption, [156.0, 513.0, 511.0, 18.0], UpRB1mbj4S, 5691283]
[paragraph, [145.0, 565.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 583.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 601.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 619.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 637.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 655.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 673.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 691.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 709.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 727.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 745.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 763.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 781.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 799.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 817.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 835.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 853.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 871.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 889.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 907.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 925.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [145.0, 943.0, 541.0, 18.0], -_o981EHqh, 5691283]
[paragraph, [139.0, 966.0, 545.0, 18.0], v80BqpRiOT, 5691283]
[paragraph, [139.0, 984.0, 545.0, 18.0], v80BqpRiOT, 5691283]
[paragraph, [139.0, 1002.0, 545.0, 18.0], v80BqpRiOT, 5691283]
[paragraph, [139.0, 1020.0, 545.0, 18.0], v80BqpRiOT, 5691283]
[paragraph, [139.0, 1038.0, 545.0, 18.0], v80BqpRiOT, 5691283]
