[1200, 825]
[paragraph, [144.0, 110.0, 537.0, 18.0], shoonya_0sBS6B3OZM5695, 5691269]
[paragraph, [144.0, 128.0, 537.0, 18.0], shoonya_0sBS6B3OZM5695, 5691269]
[paragraph, [144.0, 146.0, 537.0, 18.0], shoonya_0sBS6B3OZM5695, 5691269]
[paragraph, [144.0, 164.0, 537.0, 18.0], shoonya_0sBS6B3OZM5695, 5691269]
[paragraph, [144.0, 182.0, 537.0, 18.0], shoonya_0sBS6B3OZM5695, 5691269]
[paragraph, [144.0, 200.0, 537.0, 18.0], shoonya_0sBS6B3OZM5695, 5691269]
[paragraph, [144.0, 218.0, 537.0, 18.0], shoonya_0sBS6B3OZM5695, 5691269]
[paragraph, [144.0, 236.0, 537.0, 18.0], shoonya_0sBS6B3OZM5695, 5691269]
[paragraph, [144.0, 254.0, 537.0, 18.0], shoonya_0sBS6B3OZM5695, 5691269]
[paragraph, [144.0, 272.0, 537.0, 18.0], shoonya_0sBS6B3OZM5695, 5691269]
[paragraph, [144.0, 290.0, 537.0, 18.0], shoonya_0sBS6B3OZM5695, 5691269]
[paragraph, [144.0, 323.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 341.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 359.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 377.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 395.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 413.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 431.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 449.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 467.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 485.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 503.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 521.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 539.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 557.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 575.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 593.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 611.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 629.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 647.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [144.0, 665.0, 538.0, 18.0], shoonya_1s9I81U918JF8A, 5691269]
[paragraph, [141.0, 690.0, 546.0, 18.0], DGdAY47kUB, 5691269]
[paragraph, [141.0, 708.0, 546.0, 18.0], DGdAY47kUB, 5691269]
[paragraph, [141.0, 726.0, 546.0, 18.0], DGdAY47kUB, 5691269]
[paragraph, [141.0, 744.0, 546.0, 18.0], DGdAY47kUB, 5691269]
[paragraph, [141.0, 762.0, 546.0, 18.0], DGdAY47kUB, 5691269]
[paragraph, [141.0, 780.0, 546.0, 18.0], DGdAY47kUB, 5691269]
[paragraph, [141.0, 798.0, 546.0, 18.0], DGdAY47kUB, 5691269]
[section-title, [140.0, 847.0, 221.0, 30.0], Q0z9E2eJkZ, 5691269]
[paragraph, [141.0, 894.0, 541.0, 18.0], shoonya_3sHAXT0XVIZZZ4, 5691269]
[paragraph, [141.0, 912.0, 541.0, 18.0], shoonya_3sHAXT0XVIZZZ4, 5691269]
[paragraph, [141.0, 930.0, 541.0, 18.0], shoonya_3sHAXT0XVIZZZ4, 5691269]
[paragraph, [141.0, 948.0, 541.0, 18.0], shoonya_3sHAXT0XVIZZZ4, 5691269]
[paragraph, [141.0, 966.0, 541.0, 18.0], shoonya_3sHAXT0XVIZZZ4, 5691269]
[paragraph, [141.0, 984.0, 541.0, 18.0], shoonya_3sHAXT0XVIZZZ4, 5691269]
[paragraph, [141.0, 1002.0, 541.0, 18.0], shoonya_3sHAXT0XVIZZZ4, 5691269]
[paragraph, [141.0, 1020.0, 541.0, 18.0], shoonya_3sHAXT0XVIZZZ4, 5691269]
