[596, 420]
[headline, [133.0, 29.0, 117.0, 25.5], shoonya_0sSR8J4OTVQVPX, 6533939]
[paragraph, [25.0, 59.0, 333.0, 18.0], K2rEQATOSp, 6533939]
[paragraph, [25.0, 77.0, 333.0, 18.0], K2rEQATOSp, 6533939]
[paragraph, [25.0, 95.0, 333.0, 18.0], K2rEQATOSp, 6533939]
[paragraph, [25.0, 113.0, 333.0, 18.0], K2rEQATOSp, 6533939]
[paragraph, [25.0, 131.0, 333.0, 18.0], K2rEQATOSp, 6533939]
[paragraph, [25.0, 149.0, 333.0, 18.0], K2rEQATOSp, 6533939]
[paragraph, [25.0, 167.0, 333.0, 18.0], K2rEQATOSp, 6533939]
[paragraph, [25.0, 185.0, 333.0, 18.0], K2rEQATOSp, 6533939]
[paragraph, [28.0, 207.0, 331.0, 18.0], qIaS8Xruuz, 6533939]
[paragraph, [28.0, 225.0, 331.0, 18.0], qIaS8Xruuz, 6533939]
[paragraph, [28.0, 243.0, 331.0, 18.0], qIaS8Xruuz, 6533939]
[paragraph, [28.0, 261.0, 331.0, 18.0], qIaS8Xruuz, 6533939]
[paragraph, [28.0, 279.0, 331.0, 18.0], qIaS8Xruuz, 6533939]
[paragraph, [28.0, 297.0, 331.0, 18.0], qIaS8Xruuz, 6533939]
[paragraph, [28.0, 315.0, 331.0, 18.0], qIaS8Xruuz, 6533939]
[paragraph, [28.0, 336.0, 335.0, 18.0], IvxDeFaRts, 6533939]
[paragraph, [28.0, 354.0, 335.0, 18.0], IvxDeFaRts, 6533939]
[paragraph, [24.0, 383.0, 334.0, 18.0], hecX6h696u, 6533939]
[paragraph, [24.0, 401.0, 334.0, 18.0], hecX6h696u, 6533939]
