[596, 421]
[paragraph, [45.0, 79.0, 155.0, 18.0], Ii7X1EQMxD, 6534019]
[paragraph, [45.0, 97.0, 155.0, 18.0], Ii7X1EQMxD, 6534019]
[paragraph, [43.0, 124.0, 151.0, 18.0], LqSqycgqTU, 6534019]
[paragraph, [43.0, 142.0, 151.0, 18.0], LqSqycgqTU, 6534019]
[paragraph, [217.0, 366.0, 173.0, 18.0], vLf295TFjT, 6534019]
[paragraph, [217.0, 384.0, 173.0, 18.0], vLf295TFjT, 6534019]
[paragraph, [32.0, 367.0, 151.0, 18.0], 6UAknrzsvN, 6534019]
[paragraph, [32.0, 385.0, 151.0, 18.0], 6UAknrzsvN, 6534019]
[paragraph, [34.0, 415.0, 144.0, 18.0], kSj_tH8BVx, 6534019]
[paragraph, [34.0, 433.0, 144.0, 18.0], kSj_tH8BVx, 6534019]
[paragraph, [212.0, 416.0, 172.0, 18.0], bQV7mm3UUL, 6534019]
[paragraph, [212.0, 434.0, 172.0, 18.0], bQV7mm3UUL, 6534019]
[paragraph, [35.0, 460.0, 150.0, 18.0], rrAlJ54gJJ, 6534019]
[paragraph, [35.0, 478.0, 150.0, 18.0], rrAlJ54gJJ, 6534019]
[paragraph, [221.0, 460.0, 167.0, 18.0], 4ciAOqjlpw, 6534019]
[paragraph, [221.0, 478.0, 167.0, 18.0], 4ciAOqjlpw, 6534019]
