[596, 421]
[section-title, [41.0, 36.0, 144.0, 30.0], Fxu2K-CUbO, 6534268]
[paragraph, [24.0, 75.0, 159.0, 18.0], shoonya_0sLEGAIAUN8C4K, 6534268]
[paragraph, [24.0, 93.0, 159.0, 18.0], shoonya_0sLEGAIAUN8C4K, 6534268]
[paragraph, [24.0, 128.0, 165.0, 18.0], HX_d7OKv5t, 6534268]
[paragraph, [24.0, 146.0, 165.0, 18.0], HX_d7OKv5t, 6534268]
[paragraph, [25.0, 179.0, 150.0, 18.0], XFacMK7iMy, 6534268]
[paragraph, [25.0, 197.0, 150.0, 18.0], XFacMK7iMy, 6534268]
[paragraph, [27.0, 225.0, 134.0, 18.0], P_K-OXY6Vf, 6534268]
[paragraph, [27.0, 243.0, 134.0, 18.0], P_K-OXY6Vf, 6534268]
[section-title, [251.0, 239.0, 98.0, 30.0], ISd5Ilve5A, 6534268]
[paragraph, [212.0, 284.0, 153.0, 18.0], vqwBkH4o06, 6534268]
[paragraph, [212.0, 302.0, 153.0, 18.0], vqwBkH4o06, 6534268]
[paragraph, [217.0, 333.0, 159.0, 18.0], DOSjovBCao, 6534268]
[paragraph, [217.0, 351.0, 159.0, 18.0], DOSjovBCao, 6534268]
[paragraph, [218.0, 383.0, 148.0, 18.0], CyGanZ7Pfg, 6534268]
[paragraph, [218.0, 401.0, 148.0, 18.0], CyGanZ7Pfg, 6534268]
[paragraph, [217.0, 433.0, 154.0, 18.0], g86oO7r7S0, 6534268]
[paragraph, [217.0, 451.0, 154.0, 18.0], g86oO7r7S0, 6534268]
[paragraph, [217.0, 469.0, 154.0, 18.0], g86oO7r7S0, 6534268]
[paragraph, [217.0, 487.0, 154.0, 18.0], g86oO7r7S0, 6534268]
