[718, 394]
[paragraph, [62.0, 77.0, 246.0, 18.0], shoonya_0s21KE9NPBOCVA, 6533569]
[paragraph, [62.0, 95.0, 246.0, 18.0], shoonya_0s21KE9NPBOCVA, 6533569]
[paragraph, [62.0, 113.0, 246.0, 18.0], shoonya_0s21KE9NPBOCVA, 6533569]
[paragraph, [62.0, 131.0, 246.0, 18.0], shoonya_0s21KE9NPBOCVA, 6533569]
[ordered-list, [16.0, 169.0, 319.0, 18.0], qT5kihBvGx, 6533569]
[ordered-list, [16.0, 187.0, 319.0, 18.0], qT5kihBvGx, 6533569]
[ordered-list, [16.0, 205.0, 319.0, 18.0], qT5kihBvGx, 6533569]
[ordered-list, [16.0, 223.0, 319.0, 18.0], qT5kihBvGx, 6533569]
[ordered-list, [16.0, 241.0, 319.0, 18.0], qT5kihBvGx, 6533569]
[ordered-list, [16.0, 259.0, 319.0, 18.0], qT5kihBvGx, 6533569]
[ordered-list, [16.0, 277.0, 319.0, 18.0], qT5kihBvGx, 6533569]
[ordered-list, [16.0, 295.0, 319.0, 18.0], qT5kihBvGx, 6533569]
[paragraph, [56.0, 353.0, 268.0, 18.0], HeSsXashNT, 6533569]
[paragraph, [56.0, 371.0, 268.0, 18.0], HeSsXashNT, 6533569]
[paragraph, [56.0, 389.0, 268.0, 18.0], HeSsXashNT, 6533569]
[paragraph, [56.0, 407.0, 268.0, 18.0], HeSsXashNT, 6533569]
[paragraph, [56.0, 425.0, 268.0, 18.0], HeSsXashNT, 6533569]
[ordered-list, [23.0, 454.0, 332.0, 18.0], aKzI2iiW0p, 6533569]
[ordered-list, [23.0, 472.0, 332.0, 18.0], aKzI2iiW0p, 6533569]
[ordered-list, [23.0, 490.0, 332.0, 18.0], aKzI2iiW0p, 6533569]
[ordered-list, [23.0, 508.0, 332.0, 18.0], aKzI2iiW0p, 6533569]
[ordered-list, [23.0, 526.0, 332.0, 18.0], aKzI2iiW0p, 6533569]
[ordered-list, [23.0, 544.0, 332.0, 18.0], aKzI2iiW0p, 6533569]
[ordered-list, [23.0, 562.0, 332.0, 18.0], aKzI2iiW0p, 6533569]
