[1650, 1275]
[folio, [97.0, 25.0, 442.0, 36.0], shoonya_0sCXZ4H1M4EWQ8, 5775206]
[section-title, [113.0, 135.0, 248.0, 49.5], 6U5gTS_2EH, 5775206]
[ordered-list, [106.0, 205.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 241.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 277.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 313.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 349.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 385.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 421.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 457.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 493.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 529.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 565.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 601.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 637.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 673.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 709.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 745.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 781.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 817.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 853.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 889.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 925.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 961.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 997.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 1033.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 1069.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 1105.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 1141.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 1177.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 1213.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 1249.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 1285.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 1321.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 1357.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 1393.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[ordered-list, [106.0, 1429.0, 1039.0, 36.0], AzCSkRqHb1, 5775206]
[website-link, [559.0, 577.0, 329.0, 18.0], qeF-dZkCdk, 5775206]
[website-link, [559.0, 595.0, 329.0, 18.0], qeF-dZkCdk, 5775206]
[website-link, [661.0, 718.0, 328.0, 18.0], 6visVEdPVS, 5775206]
[unordered-list, [178.0, 779.0, 967.0, 36.0], T-YTyA6wqF, 5775206]
[unordered-list, [178.0, 815.0, 967.0, 36.0], T-YTyA6wqF, 5775206]
[unordered-list, [178.0, 851.0, 967.0, 36.0], T-YTyA6wqF, 5775206]
[unordered-list, [178.0, 887.0, 967.0, 36.0], T-YTyA6wqF, 5775206]
