[1650, 1275]
[paragraph, [138.0, 209.0, 970.0, 36.0], shoonya_18s69AUPL501T3, 5775333]
[paragraph, [138.0, 245.0, 970.0, 36.0], shoonya_18s69AUPL501T3, 5775333]
[paragraph, [140.0, 393.0, 897.0, 36.0], D9JxPtsQsX, 5775333]
[paragraph, [142.0, 509.0, 926.0, 36.0], shoonya_16sPYI47RXRR16, 5775333]
[paragraph, [142.0, 632.0, 975.0, 36.0], shoonya_7sVN0KETH4AWHF, 5775333]
[paragraph, [135.0, 777.0, 881.0, 36.0], pq_wYQVUve, 5775333]
[paragraph, [138.0, 843.0, 996.0, 36.0], 2z9LgDTxh1, 5775333]
[paragraph, [138.0, 879.0, 996.0, 36.0], 2z9LgDTxh1, 5775333]
[paragraph, [138.0, 965.0, 958.0, 36.0], shoonya_11s646QYF30ULW, 5775333]
[paragraph, [138.0, 1001.0, 958.0, 36.0], shoonya_11s646QYF30ULW, 5775333]
[paragraph, [140.0, 1055.0, 963.0, 36.0], shoonya_6sSPX1Z3SSRTLZ, 5775333]
[paragraph, [140.0, 1091.0, 963.0, 36.0], shoonya_6sSPX1Z3SSRTLZ, 5775333]
[paragraph, [140.0, 1174.0, 940.0, 36.0], qB1qc6SB6d, 5775333]
[paragraph, [132.0, 1321.0, 958.0, 36.0], shoonya_8sR1USU1JUNF9J, 5775333]
[ordered-list, [144.0, 1477.0, 536.0, 36.0], shoonya_15sPGV7ZWL4BNR, 5775333]
