[1650, 1275]
[folio, [834.0, 17.0, 310.0, 36.0], shoonya_0s3RFJ6FYH5EG0, 5775130]
[paragraph, [124.0, 114.0, 1012.0, 36.0], vrzQHiVbRZ, 5775130]
[paragraph, [124.0, 150.0, 1012.0, 36.0], vrzQHiVbRZ, 5775130]
[paragraph, [124.0, 186.0, 1012.0, 36.0], vrzQHiVbRZ, 5775130]
[paragraph, [138.0, 301.0, 1008.0, 36.0], QB-W1ZuVcm, 5775130]
[paragraph, [138.0, 337.0, 1008.0, 36.0], QB-W1ZuVcm, 5775130]
[paragraph, [138.0, 373.0, 1008.0, 36.0], QB-W1ZuVcm, 5775130]
[paragraph, [137.0, 432.0, 1008.0, 36.0], WOPEtj1Vdi, 5775130]
[paragraph, [137.0, 468.0, 1008.0, 36.0], WOPEtj1Vdi, 5775130]
[paragraph, [137.0, 504.0, 1008.0, 36.0], WOPEtj1Vdi, 5775130]
[paragraph, [135.0, 564.0, 1008.0, 36.0], QDR6dtGvUQ, 5775130]
[paragraph, [135.0, 600.0, 1008.0, 36.0], QDR6dtGvUQ, 5775130]
[paragraph, [135.0, 636.0, 1008.0, 36.0], QDR6dtGvUQ, 5775130]
[paragraph, [135.0, 672.0, 1008.0, 36.0], QDR6dtGvUQ, 5775130]
[paragraph, [135.0, 708.0, 1008.0, 36.0], QDR6dtGvUQ, 5775130]
[paragraph, [130.0, 757.0, 1012.0, 36.0], PJPnc5oZEp, 5775130]
[paragraph, [130.0, 793.0, 1012.0, 36.0], PJPnc5oZEp, 5775130]
[paragraph, [130.0, 829.0, 1012.0, 36.0], PJPnc5oZEp, 5775130]
[paragraph, [130.0, 865.0, 1012.0, 36.0], PJPnc5oZEp, 5775130]
[paragraph, [130.0, 901.0, 1012.0, 36.0], PJPnc5oZEp, 5775130]
[paragraph, [130.0, 937.0, 1012.0, 36.0], PJPnc5oZEp, 5775130]
[website-link, [457.0, 1454.0, 454.0, 18.0], T9dpGsBl9Z, 5775130]
[footnote, [129.0, 1455.0, 996.0, 36.0], Eh0REbmU4Q, 5775130]
[footnote, [129.0, 1491.0, 996.0, 36.0], Eh0REbmU4Q, 5775130]
[footnote, [129.0, 1527.0, 996.0, 36.0], Eh0REbmU4Q, 5775130]
[footnote, [129.0, 1563.0, 996.0, 36.0], Eh0REbmU4Q, 5775130]
[website-link, [261.0, 1506.0, 182.0, 18.0], jwCLYPruV6, 5775130]
[website-link, [422.0, 1572.0, 243.0, 18.0], cqEyvBpX3Z, 5775130]
[website-link, [422.0, 1590.0, 243.0, 18.0], cqEyvBpX3Z, 5775130]
