[1650, 1275]
[sub-section-title, [138.0, 173.0, 250.0, 36.0], gb85VzX9I3, 5775674]
[paragraph, [141.0, 211.0, 981.0, 36.0], shoonya_9sSK9THRRH1TG1, 5775674]
[sub-section-title, [140.0, 278.0, 492.0, 36.0], PEKdASzG0S, 5775674]
[paragraph, [140.0, 322.0, 983.0, 36.0], shoonya_1sFX24L9UNR8RK, 5775674]
[paragraph, [140.0, 358.0, 983.0, 36.0], shoonya_1sFX24L9UNR8RK, 5775674]
[paragraph, [140.0, 394.0, 983.0, 36.0], shoonya_1sFX24L9UNR8RK, 5775674]
[paragraph, [140.0, 430.0, 983.0, 36.0], shoonya_1sFX24L9UNR8RK, 5775674]
[sub-section-title, [143.0, 478.0, 450.0, 36.0], shoonya_13sWKLFXG3YKIW, 5775674]
[paragraph, [140.0, 518.0, 992.0, 36.0], shoonya_3sA191CDD4GZ7U, 5775674]
[paragraph, [140.0, 554.0, 992.0, 36.0], shoonya_3sA191CDD4GZ7U, 5775674]
[paragraph, [140.0, 590.0, 992.0, 36.0], shoonya_3sA191CDD4GZ7U, 5775674]
[paragraph, [140.0, 626.0, 992.0, 36.0], shoonya_3sA191CDD4GZ7U, 5775674]
[paragraph, [142.0, 710.0, 994.0, 36.0], shoonya_2sGDDSVCP7E9DR, 5775674]
[paragraph, [142.0, 746.0, 994.0, 36.0], shoonya_2sGDDSVCP7E9DR, 5775674]
[paragraph, [142.0, 782.0, 994.0, 36.0], shoonya_2sGDDSVCP7E9DR, 5775674]
[paragraph, [142.0, 818.0, 994.0, 36.0], shoonya_2sGDDSVCP7E9DR, 5775674]
[paragraph, [142.0, 854.0, 994.0, 36.0], shoonya_2sGDDSVCP7E9DR, 5775674]
[paragraph, [140.0, 934.0, 991.0, 36.0], shoonya_0sO1Z3WGHQXN7Z, 5775674]
[paragraph, [140.0, 970.0, 991.0, 36.0], shoonya_0sO1Z3WGHQXN7Z, 5775674]
[paragraph, [140.0, 1006.0, 991.0, 36.0], shoonya_0sO1Z3WGHQXN7Z, 5775674]
[paragraph, [140.0, 1042.0, 991.0, 36.0], shoonya_0sO1Z3WGHQXN7Z, 5775674]
[paragraph, [136.0, 1129.0, 997.0, 36.0], shoonya_7sRIWDVHVPCF1L, 5775674]
[paragraph, [136.0, 1165.0, 997.0, 36.0], shoonya_7sRIWDVHVPCF1L, 5775674]
[paragraph, [136.0, 1201.0, 997.0, 36.0], shoonya_7sRIWDVHVPCF1L, 5775674]
[paragraph, [136.0, 1237.0, 997.0, 36.0], shoonya_7sRIWDVHVPCF1L, 5775674]
[sub-section-title, [143.0, 1283.0, 299.0, 36.0], l8RKX-tWzF, 5775674]
[paragraph, [138.0, 1327.0, 992.0, 36.0], shoonya_4sSTZODJ6JA631, 5775674]
[paragraph, [138.0, 1363.0, 992.0, 36.0], shoonya_4sSTZODJ6JA631, 5775674]
[paragraph, [135.0, 1463.0, 974.0, 36.0], shoonya_8s540H7CXM30X8, 5775674]
