[594, 353]
[folio, [106.0, 9.0, 143.0, 18.0], ZAOg4uBEXB, 5700749]
[paragraph, [0.0, 39.0, 343.0, 18.0], shoonya_1sI7UEUB0J09KQ, 5700749]
[paragraph, [0.0, 57.0, 343.0, 18.0], shoonya_1sI7UEUB0J09KQ, 5700749]
[paragraph, [0.0, 75.0, 343.0, 18.0], shoonya_1sI7UEUB0J09KQ, 5700749]
[paragraph, [0.0, 93.0, 343.0, 18.0], shoonya_1sI7UEUB0J09KQ, 5700749]
[paragraph, [0.0, 111.0, 343.0, 18.0], shoonya_1sI7UEUB0J09KQ, 5700749]
[paragraph, [0.0, 129.0, 343.0, 18.0], shoonya_1sI7UEUB0J09KQ, 5700749]
[paragraph, [0.0, 147.0, 343.0, 18.0], shoonya_1sI7UEUB0J09KQ, 5700749]
[paragraph, [0.0, 165.0, 343.0, 18.0], shoonya_1sI7UEUB0J09KQ, 5700749]
[paragraph, [0.0, 183.0, 343.0, 18.0], shoonya_1sI7UEUB0J09KQ, 5700749]
[paragraph, [0.0, 201.0, 343.0, 18.0], shoonya_1sI7UEUB0J09KQ, 5700749]
[paragraph, [0.0, 219.0, 343.0, 18.0], shoonya_1sI7UEUB0J09KQ, 5700749]
[paragraph, [5.0, 257.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 275.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 293.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 311.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 329.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 347.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 365.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 383.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 401.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 419.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 437.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 455.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 473.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 491.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 509.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 527.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
[paragraph, [5.0, 545.0, 329.0, 18.0], shoonya_0sM3MWV9VLBXUM, 5700749]
