[594, 353]
[folio, [58.0, 9.0, 209.0, 18.0], Pjxc64_mrK, 5700779]
[paragraph, [7.0, 36.0, 335.0, 18.0], shoonya_2sNGMII7IA37RC, 5700779]
[paragraph, [67.0, 62.0, 273.0, 18.0], fz2-L4yYnr, 5700779]
[paragraph, [67.0, 80.0, 273.0, 18.0], fz2-L4yYnr, 5700779]
[paragraph, [67.0, 98.0, 273.0, 18.0], fz2-L4yYnr, 5700779]
[paragraph, [67.0, 116.0, 273.0, 18.0], fz2-L4yYnr, 5700779]
[sidebar, [6.0, 82.0, 57.0, 18.0], Xn-g3IaJGW, 5700779]
[sidebar, [6.0, 100.0, 57.0, 18.0], Xn-g3IaJGW, 5700779]
[paragraph, [12.0, 132.0, 202.0, 18.0], _F3wF5MJWo, 5700779]
[ordered-list, [5.0, 168.0, 328.0, 18.0], xspw2t9i0d, 5700779]
[sidebar, [7.0, 193.0, 57.0, 18.0], shoonya_0s9HNNWY4NLFR1, 5700779]
[sidebar, [7.0, 211.0, 57.0, 18.0], shoonya_0s9HNNWY4NLFR1, 5700779]
[sidebar, [7.0, 229.0, 57.0, 18.0], shoonya_0s9HNNWY4NLFR1, 5700779]
[ordered-list, [70.0, 193.0, 263.0, 18.0], wlwSyMyqr-, 5700779]
[ordered-list, [70.0, 211.0, 263.0, 18.0], wlwSyMyqr-, 5700779]
[ordered-list, [70.0, 229.0, 263.0, 18.0], wlwSyMyqr-, 5700779]
[ordered-list, [7.0, 262.0, 326.0, 18.0], ZP5Sftk5px, 5700779]
[ordered-list, [7.0, 280.0, 326.0, 18.0], ZP5Sftk5px, 5700779]
[ordered-list, [7.0, 298.0, 326.0, 18.0], ZP5Sftk5px, 5700779]
[ordered-list, [7.0, 316.0, 326.0, 18.0], ZP5Sftk5px, 5700779]
[ordered-list, [7.0, 334.0, 326.0, 18.0], ZP5Sftk5px, 5700779]
[ordered-list, [7.0, 352.0, 326.0, 18.0], ZP5Sftk5px, 5700779]
[ordered-list, [7.0, 370.0, 326.0, 18.0], ZP5Sftk5px, 5700779]
[ordered-list, [7.0, 388.0, 326.0, 18.0], ZP5Sftk5px, 5700779]
[ordered-list, [7.0, 406.0, 326.0, 18.0], ZP5Sftk5px, 5700779]
[ordered-list, [32.0, 444.0, 296.0, 18.0], WG4qHcwPGZ, 5700779]
[ordered-list, [69.0, 466.0, 258.0, 18.0], nY-aEvtiDU, 5700779]
[ordered-list, [69.0, 484.0, 258.0, 18.0], nY-aEvtiDU, 5700779]
[ordered-list, [69.0, 502.0, 258.0, 18.0], nY-aEvtiDU, 5700779]
[sidebar, [8.0, 473.0, 57.0, 18.0], shoonya_1sC6OGWI8R9PYX, 5700779]
[sidebar, [8.0, 491.0, 57.0, 18.0], shoonya_1sC6OGWI8R9PYX, 5700779]
[ordered-list, [11.0, 526.0, 318.0, 18.0], Whqgj50BHJ, 5700779]
[ordered-list, [11.0, 544.0, 318.0, 18.0], Whqgj50BHJ, 5700779]
