[842, 596]
[chapter-title, [187.0, 78.0, 179.0, 30.0], shoonya_3sG53I1C8237Q3, 5700835]
[paragraph, [119.0, 124.0, 450.0, 18.0], shoonya_7sMLZ5EUQAP5FD, 5700835]
[paragraph, [119.0, 142.0, 450.0, 18.0], shoonya_7sMLZ5EUQAP5FD, 5700835]
[paragraph, [119.0, 160.0, 450.0, 18.0], shoonya_7sMLZ5EUQAP5FD, 5700835]
[paragraph, [119.0, 178.0, 450.0, 18.0], shoonya_7sMLZ5EUQAP5FD, 5700835]
[paragraph, [54.0, 200.0, 517.0, 18.0], shoonya_4sRBW32N1JSB5B, 5700835]
[paragraph, [54.0, 218.0, 517.0, 18.0], shoonya_4sRBW32N1JSB5B, 5700835]
[paragraph, [54.0, 236.0, 517.0, 18.0], shoonya_4sRBW32N1JSB5B, 5700835]
[figure-caption, [108.0, 674.0, 432.0, 18.0], shoonya_2s57QARRZUJRRT, 5700835]
[figure-caption, [108.0, 692.0, 432.0, 18.0], shoonya_2s57QARRZUJRRT, 5700835]
[figure-caption, [108.0, 710.0, 432.0, 18.0], shoonya_2s57QARRZUJRRT, 5700835]
