[720, 504]
[folio, [377.0, 72.0, 76.0, 18.0], p9xTw4HOve, 5651778]
[paragraph, [258.0, 104.0, 198.0, 18.0], shoonya_5sCL3L7NX28RSY, 5651778]
[paragraph, [258.0, 122.0, 198.0, 18.0], shoonya_5sCL3L7NX28RSY, 5651778]
[paragraph, [258.0, 140.0, 198.0, 18.0], shoonya_5sCL3L7NX28RSY, 5651778]
[paragraph, [258.0, 158.0, 198.0, 18.0], shoonya_5sCL3L7NX28RSY, 5651778]
[paragraph, [258.0, 176.0, 198.0, 18.0], shoonya_5sCL3L7NX28RSY, 5651778]
[paragraph, [258.0, 194.0, 198.0, 18.0], shoonya_5sCL3L7NX28RSY, 5651778]
[paragraph, [47.0, 105.0, 199.0, 18.0], shoonya_3sBBKKSMTIXODX, 5651778]
[paragraph, [47.0, 123.0, 199.0, 18.0], shoonya_3sBBKKSMTIXODX, 5651778]
[paragraph, [47.0, 141.0, 199.0, 18.0], shoonya_3sBBKKSMTIXODX, 5651778]
[paragraph, [47.0, 159.0, 199.0, 18.0], shoonya_3sBBKKSMTIXODX, 5651778]
[paragraph, [47.0, 177.0, 199.0, 18.0], shoonya_3sBBKKSMTIXODX, 5651778]
[paragraph, [47.0, 195.0, 199.0, 18.0], shoonya_3sBBKKSMTIXODX, 5651778]
[paragraph, [47.0, 213.0, 199.0, 18.0], shoonya_3sBBKKSMTIXODX, 5651778]
[paragraph, [256.0, 254.0, 204.0, 18.0], shoonya_4sMM7N1JLPVJYY, 5651778]
[paragraph, [256.0, 272.0, 204.0, 18.0], shoonya_4sMM7N1JLPVJYY, 5651778]
[paragraph, [256.0, 290.0, 204.0, 18.0], shoonya_4sMM7N1JLPVJYY, 5651778]
[paragraph, [256.0, 308.0, 204.0, 18.0], shoonya_4sMM7N1JLPVJYY, 5651778]
[paragraph, [256.0, 326.0, 204.0, 18.0], shoonya_4sMM7N1JLPVJYY, 5651778]
[paragraph, [256.0, 344.0, 204.0, 18.0], shoonya_4sMM7N1JLPVJYY, 5651778]
[paragraph, [256.0, 362.0, 204.0, 18.0], shoonya_4sMM7N1JLPVJYY, 5651778]
[paragraph, [256.0, 380.0, 204.0, 18.0], shoonya_4sMM7N1JLPVJYY, 5651778]
[paragraph, [256.0, 398.0, 204.0, 18.0], shoonya_4sMM7N1JLPVJYY, 5651778]
[paragraph, [256.0, 416.0, 204.0, 18.0], shoonya_4sMM7N1JLPVJYY, 5651778]
[paragraph, [47.0, 275.0, 202.0, 18.0], shoonya_0sI9VHYNG9M02B, 5651778]
[paragraph, [47.0, 293.0, 202.0, 18.0], shoonya_0sI9VHYNG9M02B, 5651778]
[paragraph, [47.0, 311.0, 202.0, 18.0], shoonya_0sI9VHYNG9M02B, 5651778]
[paragraph, [47.0, 329.0, 202.0, 18.0], shoonya_0sI9VHYNG9M02B, 5651778]
[paragraph, [47.0, 347.0, 202.0, 18.0], shoonya_0sI9VHYNG9M02B, 5651778]
[paragraph, [47.0, 365.0, 202.0, 18.0], shoonya_0sI9VHYNG9M02B, 5651778]
[paragraph, [47.0, 383.0, 202.0, 18.0], shoonya_0sI9VHYNG9M02B, 5651778]
[paragraph, [47.0, 401.0, 202.0, 18.0], shoonya_0sI9VHYNG9M02B, 5651778]
[paragraph, [47.0, 419.0, 202.0, 18.0], shoonya_0sI9VHYNG9M02B, 5651778]
[paragraph, [47.0, 437.0, 202.0, 18.0], shoonya_0sI9VHYNG9M02B, 5651778]
[paragraph, [47.0, 455.0, 202.0, 18.0], shoonya_0sI9VHYNG9M02B, 5651778]
[paragraph, [259.0, 440.0, 204.0, 18.0], shoonya_1sBL8XD8VSSSKP, 5651778]
[paragraph, [259.0, 458.0, 204.0, 18.0], shoonya_1sBL8XD8VSSSKP, 5651778]
[paragraph, [259.0, 476.0, 204.0, 18.0], shoonya_1sBL8XD8VSSSKP, 5651778]
[paragraph, [259.0, 494.0, 204.0, 18.0], shoonya_1sBL8XD8VSSSKP, 5651778]
[paragraph, [259.0, 512.0, 204.0, 18.0], shoonya_1sBL8XD8VSSSKP, 5651778]
[paragraph, [259.0, 530.0, 204.0, 18.0], shoonya_1sBL8XD8VSSSKP, 5651778]
[paragraph, [259.0, 548.0, 204.0, 18.0], shoonya_1sBL8XD8VSSSKP, 5651778]
[paragraph, [259.0, 566.0, 204.0, 18.0], shoonya_1sBL8XD8VSSSKP, 5651778]
[paragraph, [259.0, 584.0, 204.0, 18.0], shoonya_1sBL8XD8VSSSKP, 5651778]
[paragraph, [259.0, 602.0, 204.0, 18.0], shoonya_1sBL8XD8VSSSKP, 5651778]
[paragraph, [41.0, 478.0, 210.0, 18.0], shoonya_2sKBEQLIR0YGBR, 5651778]
[paragraph, [41.0, 496.0, 210.0, 18.0], shoonya_2sKBEQLIR0YGBR, 5651778]
[paragraph, [41.0, 514.0, 210.0, 18.0], shoonya_2sKBEQLIR0YGBR, 5651778]
[paragraph, [41.0, 532.0, 210.0, 18.0], shoonya_2sKBEQLIR0YGBR, 5651778]
[paragraph, [41.0, 550.0, 210.0, 18.0], shoonya_2sKBEQLIR0YGBR, 5651778]
[paragraph, [41.0, 568.0, 210.0, 18.0], shoonya_2sKBEQLIR0YGBR, 5651778]
[paragraph, [41.0, 586.0, 210.0, 18.0], shoonya_2sKBEQLIR0YGBR, 5651778]
[paragraph, [41.0, 604.0, 210.0, 18.0], shoonya_2sKBEQLIR0YGBR, 5651778]
