[720, 504]
[paragraph, [249.0, 109.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 127.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 145.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 163.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 181.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 199.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 217.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 235.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 253.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 271.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 289.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 307.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 325.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 343.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 361.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 379.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 397.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 415.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 433.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 451.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [249.0, 469.0, 203.0, 18.0], shoonya_1sL2WCDJX6Z66Q, 5651698]
[paragraph, [39.0, 111.0, 197.0, 18.0], shoonya_2sWJDXCHMIXHI5, 5651698]
[paragraph, [39.0, 129.0, 197.0, 18.0], shoonya_2sWJDXCHMIXHI5, 5651698]
[paragraph, [33.0, 160.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 178.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 196.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 214.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 232.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 250.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 268.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 286.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 304.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 322.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 340.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 358.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 376.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 394.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 412.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 430.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
[paragraph, [33.0, 448.0, 204.0, 18.0], shoonya_0sOA8OHYTVIQRO, 5651698]
